Date,Visitor/Neutral,vPTS,Home/Neutral,hPTS,totalcombined,
Sat Jun 21 1997,Houston Comets,76,Cleveland Rockers,56,132,
Sat Jun 21 1997,New York Liberty,67,Los Angeles Sparks,57,124,
Sat Jun 21 1997,Sacramento Monarchs,73,Utah Starzz,61,134,
Sun Jun 22 1997,Charlotte Sting,59,Phoenix Mercury,76,135,
Mon Jun 23 1997,New York Liberty,73,Sacramento Monarchs,62,135,
Mon Jun 23 1997,Los Angeles Sparks,89,Utah Starzz,102,191,
Tue Jun 24 1997,Phoenix Mercury,55,Houston Comets,72,127,
Wed Jun 25 1997,Charlotte Sting,54,Los Angeles Sparks,74,128,
Thu Jun 26 1997,Utah Starzz,63,Cleveland Rockers,74,137,
Thu Jun 26 1997,New York Liberty,62,Houston Comets,60,122,
Thu Jun 26 1997,Charlotte Sting,70,Sacramento Monarchs,78,148,
Fri Jun 27 1997,Sacramento Monarchs,92,Los Angeles Sparks,102,194,
Sat Jun 28 1997,Phoenix Mercury,68,Cleveland Rockers,63,131,
Sat Jun 28 1997,Houston Comets,76,Utah Starzz,58,134,
Sun Jun 29 1997,Cleveland Rockers,44,Charlotte Sting,67,111,
Sun Jun 29 1997,Phoenix Mercury,57,New York Liberty,65,122,
Mon Jun 30 1997,Los Angeles Sparks,66,Houston Comets,71,137,
Wed Jul 2 1997,Houston Comets,67,New York Liberty,72,139,
Wed Jul 2 1997,Utah Starzz,73,Sacramento Monarchs,68,141,
Thu Jul 3 1997,Los Angeles Sparks,74,Cleveland Rockers,62,136,
Thu Jul 3 1997,Phoenix Mercury,77,Utah Starzz,55,132,
Fri Jul 4 1997,New York Liberty,65,Houston Comets,58,123,
Sat Jul 5 1997,Los Angeles Sparks,66,Charlotte Sting,78,144,
Sat Jul 5 1997,New York Liberty,66,Utah Starzz,53,119,
Sun Jul 6 1997,Cleveland Rockers,67,Sacramento Monarchs,70,137,
Mon Jul 7 1997,Charlotte Sting,56,Houston Comets,74,130,
Mon Jul 7 1997,Cleveland Rockers,81,Los Angeles Sparks,70,151,
Mon Jul 7 1997,New York Liberty,50,Phoenix Mercury,69,119,
Mon Jul 7 1997,Sacramento Monarchs,79,Utah Starzz,69,148,
Wed Jul 9 1997,New York Liberty,69,Charlotte Sting,87,156,
Wed Jul 9 1997,Houston Comets,64,Phoenix Mercury,69,133,
Thu Jul 10 1997,Sacramento Monarchs,61,Cleveland Rockers,77,138,
Thu Jul 10 1997,Charlotte Sting,48,New York Liberty,62,110,
Fri Jul 11 1997,Utah Starzz,68,Los Angeles Sparks,75,143,
Sat Jul 12 1997,Cleveland Rockers,43,Charlotte Sting,72,115,
Sat Jul 12 1997,Sacramento Monarchs,61,Houston Comets,89,150,
Sat Jul 12 1997,Phoenix Mercury,51,Utah Starzz,52,103,
Sun Jul 13 1997,Phoenix Mercury,57,Los Angeles Sparks,56,113,
Mon Jul 14 1997,New York Liberty,68,Cleveland Rockers,57,125,
Mon Jul 14 1997,Utah Starzz,56,Houston Comets,79,135,
Tue Jul 15 1997,Cleveland Rockers,59,New York Liberty,76,135,
Tue Jul 15 1997,Los Angeles Sparks,73,Sacramento Monarchs,78,151,
Wed Jul 16 1997,Utah Starzz,63,Charlotte Sting,75,138,
Wed Jul 16 1997,Houston Comets,52,Los Angeles Sparks,77,129,
Wed Jul 16 1997,Sacramento Monarchs,67,Phoenix Mercury,84,151,
Thu Jul 17 1997,Charlotte Sting,47,Cleveland Rockers,65,112,
Thu Jul 17 1997,Utah Starzz,54,New York Liberty,80,134,
Fri Jul 18 1997,Houston Comets,82,Sacramento Monarchs,60,142,
