team,opponent,date,hca,points,fga,orb,tov,fta,opp_points,opp_fga,opp_orb,opp_tov,opp_fta
A&M-Corpus Christi,Purdue,2024-11-04,-1,73,67,7,9,7,90,55,10,16,27
Purdue,A&M-Corpus Christi,2024-11-04,1,90,55,10,16,27,73,67,7,9,7
North Ala.,Air Force,2024-11-04,-1,73,58,5,6,9,57,46,6,14,17
Air Force,North Ala.,2024-11-04,1,57,46,6,14,17,73,58,5,6,9
Akron,Arkansas St.,2024-11-04,-1,75,79,19,14,13,80,73,11,15,6
Arkansas St.,Akron,2024-11-04,1,80,73,11,15,6,75,79,19,14,13
Alabama St.,UNLV,2024-11-04,-1,79,61,12,12,20,93,58,13,11,28
UNLV,Alabama St.,2024-11-04,1,93,58,13,11,28,79,61,12,12,20
UNC Asheville,Alabama,2024-11-04,-1,54,73,14,9,14,110,60,14,10,37
Alabama,UNC Asheville,2024-11-04,1,110,60,14,10,37,54,73,14,9,14
Alcorn,Utah,2024-11-04,-1,59,55,14,14,22,100,57,12,10,25
Utah,Alcorn,2024-11-04,1,100,57,12,10,25,59,55,14,14,22
American,La Salle,2024-11-04,-1,52,55,9,10,8,65,55,12,7,18
La Salle,American,2024-11-04,1,65,55,12,7,18,52,55,9,10,8
Miami (OH),App State,2024-11-04,-1,77,59,8,14,13,63,53,10,19,21
App State,Miami (OH),2024-11-04,1,63,53,10,19,21,77,59,8,14,13
Canisius,Arizona,2024-11-04,-1,64,51,5,19,13,93,68,17,9,27
Arizona,Canisius,2024-11-04,1,93,68,17,9,27,64,51,5,19,13
Ark.-Pine Bluff,Cincinnati,2024-11-04,-1,54,59,8,17,14,109,72,17,9,23
Cincinnati,Ark.-Pine Bluff,2024-11-04,1,109,72,17,9,23,54,59,8,17,14
UAlbany,Army West Point,2024-11-04,-1,59,60,9,9,16,67,50,9,13,28
Army West Point,UAlbany,2024-11-04,1,67,50,9,13,28,59,60,9,9,16
Ball St.,Georgia St.,2024-11-04,-1,66,68,17,6,24,71,65,14,6,22
Georgia St.,Ball St.,2024-11-04,1,71,65,14,6,22,66,68,17,6,24
Baylor,Gonzaga,2024-11-04,-1,63,62,14,12,20,101,71,17,11,13
Gonzaga,Baylor,2024-11-04,1,101,71,17,11,13,63,62,14,12,20
Bellarmine,VCU,2024-11-04,-1,65,56,12,16,13,84,55,12,16,17
VCU,Bellarmine,2024-11-04,1,84,55,12,16,17,65,56,12,16,13
Binghamton,Penn St.,2024-11-04,-1,66,56,11,21,15,108,69,16,5,32
Penn St.,Binghamton,2024-11-04,1,108,69,16,5,32,66,56,11,21,15
The Citadel,Boston College,2024-11-04,-1,60,52,9,14,25,69,54,14,14,28
Boston College,The Citadel,2024-11-04,1,69,54,14,14,28,60,52,9,14,25
Northeastern,Boston U.,2024-11-04,-1,80,47,4,12,22,72,62,14,12,11
Boston U.,Northeastern,2024-11-04,1,72,62,14,12,11,80,47,4,12,22
Bowling Green,Southern Miss.,2024-11-04,-1,68,66,9,13,8,77,61,6,13,14
Southern Miss.,Bowling Green,2024-11-04,1,77,61,6,13,14,68,66,9,13,8
Southeast Mo. St.,Bradley,2024-11-04,-1,60,57,9,17,10,88,54,10,16,25
Bradley,Southeast Mo. St.,2024-11-04,1,88,54,10,16,25,60,57,9,17,10
Brown,Siena,2024-11-04,-1,71,64,15,16,13,72,66,20,13,28
Siena,Brown,2024-11-04,1,72,66,20,13,28,71,64,15,16,13
Bucknell,Delaware,2024-11-04,-1,85,55,6,16,27,73,64,8,14,18
Delaware,Bucknell,2024-11-04,1,73,64,8,14,18,85,55,6,16,27
Buffalo,Old Dominion,2024-11-04,-1,83,57,5,13,17,82,77,22,15,8
Old Dominion,Buffalo,2024-11-04,1,82,77,22,15,8,83,57,5,13,17
Missouri St.,Butler,2024-11-04,-1,65,67,16,13,10,72,47,13,19,28
Butler,Missouri St.,2024-11-04,1,72,47,13,19,28,65,67,16,13,10
CSU Bakersfield,California,2024-11-04,-1,73,62,14,17,18,86,57,15,11,40
California,CSU Bakersfield,2024-11-04,1,86,57,15,11,40,73,62,14,17,18
