"team","opponent","date","hca","points","fga","orb","tov","fta","opp_points","opp_fga","opp_orb","opp_tov","opp_fta"
"Abilene Christian","University of The Southwest",2024-11-04,1,95,78,18,0,14,38,48,7,1,10
"Adelphi","Adelphi",2024-11-04,-1,58,48,2,2,9,58,48,2,2,9
"Air Force","Regis (CO)",2024-11-04,1,94,70,11,0,17,64,65,17,3,15
"Akron","Georgia State",2024-11-04,1,81,53,14,0,41,73,72,13,0,12
"Alabama","New Orleans",2024-11-04,1,115,86,22,0,18,53,52,4,1,8
"Alabama State","Faulkner",2024-11-04,1,70,59,15,0,33,58,49,10,0,24
"Alcorn State","Alcorn State",2024-11-04,-1,65,57,12,0,11,65,57,12,0,11
"American University","American University",2024-11-04,-1,68,69,12,0,20,68,69,12,0,20
"App State","App State",2024-11-04,-1,48,59,15,0,18,48,59,15,0,18
"Arizona","UT Arlington",2024-11-04,1,73,63,9,2,22,54,52,7,0,26
"Arizona Christian","Arizona Christian",2024-11-04,-1,52,61,5,0,10,52,61,5,0,10
"Arizona State","Jacksonville State",2024-11-04,1,74,60,9,1,19,66,68,17,1,29
"Arkansas","Fairfield",2024-11-04,1,67,60,8,0,14,81,68,11,2,2
"Arkansas State","Arkansas State",2024-11-04,-1,52,63,12,0,6,52,63,12,0,6
"Arkansas-Pine Bluff","Arkansas-Pine Bluff",2024-11-04,-1,43,46,10,1,17,43,46,10,1,17
"Army","Cornell",2024-11-04,1,54,48,7,0,21,60,46,5,2,17
"Asbury","Asbury",2024-11-04,-1,80,71,12,5,20,80,71,12,5,20
"Auburn","Southern Illinois",2024-11-04,1,65,67,16,0,10,31,50,11,2,13
"Austin Peay","Bethel (TN)",2024-11-04,1,52,59,14,3,13,64,50,10,1,29
"Ball State","Old Dominion",2024-11-04,1,60,53,7,1,20,46,64,17,0,16
"Bellarmine","Indiana-Southeast",2024-11-04,1,88,67,19,1,30,56,68,10,3,9
"Bethel (TN)","Bethel (TN)",2024-11-04,-1,64,50,10,1,29,64,50,10,1,29
"Bethune-Cookman","Bethune-Cookman",2024-11-04,-1,44,53,12,2,21,44,53,12,2,21
"Binghamton","Pittsburgh-Johnstown",2024-11-04,1,79,61,15,1,23,34,51,4,2,6
"Boise State","Eastern Oregon",2024-11-04,1,87,73,16,0,12,57,62,10,1,8
"Boston College","Lafayette",2024-11-04,1,85,70,17,0,17,55,60,11,4,4
"Boston University","Northeastern",2024-11-04,1,60,50,8,0,18,48,58,9,0,14
"Bowie State","Bowie State",2024-11-04,-1,55,55,13,1,9,55,55,13,1,9
"Bowling Green","Southern Miss",2024-11-04,1,71,51,14,0,30,67,62,23,0,28
"Brescia","Brescia",2024-11-04,-1,49,45,2,0,19,49,45,2,0,19
"Brown","Brown",2024-11-04,-1,60,60,7,0,9,60,60,7,0,9
"Bryant","Merrimack",2024-11-04,1,65,56,14,2,14,50,66,18,1,16
"Bucknell","Bucknell",2024-11-04,-1,68,61,11,2,9,68,61,11,2,9
"Buffalo","Troy",2024-11-04,1,80,65,13,1,38,78,69,15,0,21
"Cal State Bakersfield","Cal State Bakersfield",2024-11-04,-1,52,54,7,2,18,52,54,7,2,18
"Cal State Fullerton","Cal State Fullerton",2024-11-04,-1,57,63,14,0,18,57,63,14,0,18
"Cal State Northridge","La Sierra",2024-11-04,1,70,74,13,0,14,56,66,8,0,6
"Cal State San Marcos","Cal State San Marcos",2024-11-04,-1,48,43,10,1,21,48,43,10,1,21
"California","Saint Mary's",2024-11-04,1,90,57,14,1,26,58,59,9,1,8
"California Baptist","California Baptist",2024-11-04,-1,63,57,3,1,12,63,57,3,1,12
"Campbell","Mount Olive",2024-11-04,1,72,64,15,0,33,29,47,6,1,18
"Centenary (LA)","Centenary (LA)",2024-11-04,-1,30,48,9,1,16,30,48,9,1,16
"Central Arkansas","Hendrix College",2024-11-04,1,104,77,25,0,16,30,47,7,2,13
"Central Baptist College","Central Baptist College",2024-11-04,-1,60,56,9,0,8,60,56,9,0,8
"Central Connecticut","Central Connecticut",2024-11-04,-1,48,51,11,1,4,48,51,11,1,4
"Central Michigan","Coastal Carolina",2024-11-04,1,62,62,15,0,21,65,61,8,1,16
"Chadron State","Chadron State",2024-11-04,-1,28,36,7,4,10,28,36,7,4,10
"Charleston","Meredith College",2024-11-04,1,124,105,30,0,11,26,37,9,6,16
"Charleston Southern","Charleston Southern",2024-11-04,-1,53,60,13,3,15,53,60,13,3,15
"Charlotte","Presbyterian",2024-11-04,1,77,57,13,1,28,63,50,13,0,16
"Chattanooga","Shorter",2024-11-04,1,66,60,15,1,12,49,44,2,3,12
"Chicago State","Chicago State",2024-11-04,-1,56,68,13,0,12,56,68,13,0,12
"Clemson","Jackson State",2024-11-04,1,78,72,19,0,19,44,61,6,0,9
"Coastal Carolina","Coastal Carolina",2024-11-04,-1,65,61,8,1,16,65,61,8,1,16
"Colgate","UMass Lowell",2024-11-04,1,74,57,8,0,20,62,51,8,1,17
"Colorado","Colorado",2024-11-04,-1,56,62,18,1,24,56,62,18,1,24
"Colorado Christian","Colorado Christian",2024-11-04,-1,73,56,7,0,15,73,56,7,0,15
"Colorado State","San Francisco",2024-11-04,1,52,58,6,0,14,47,59,16,1,15
"Columbia","Stony Brook",2024-11-04,1,87,72,24,0,20,47,47,8,0,23
"Concorida Nebraska","Concorida Nebraska",2024-11-04,-1,64,52,12,1,17,64,52,12,1,17
"Coppin State","Frostburg State",2024-11-04,1,72,66,14,0,16,70,61,14,0,10
"Cornell","Cornell",2024-11-04,-1,60,46,5,2,17,60,46,5,2,17
"Cumberland (TN)","Cumberland (TN)",2024-11-04,-1,62,58,7,1,18,62,58,7,1,18
"Delaware","Delaware",2024-11-04,-1,66,64,9,0,19,66,64,9,0,19
"Delaware State","Georgian Court University",2024-11-04,1,71,58,21,0,34,44,48,5,2,17
"Delta State","Delta State",2024-11-04,-1,56,49,4,2,15,56,49,4,2,15
"Denver","Colorado Christian",2024-11-04,1,66,54,7,0,22,73,56,7,0,15
"Dominican (NY)","Dominican (NY)",2024-11-04,-1,57,66,13,1,14,57,66,13,1,14
"Drake","Drake",2024-11-04,-1,84,55,12,0,39,84,55,12,0,39
"Duke","Radford",2024-11-04,1,89,70,18,0,35,36,43,6,2,18
"Duquesne","Princeton",2024-11-04,1,76,58,5,0,17,66,65,17,0,13
"East Texas A&M","UNT Dallas",2024-11-04,1,75,72,16,0,14,50,56,5,0,15
"Eastern Kentucky","Eastern Kentucky",2024-11-04,-1,44,69,12,0,5,44,69,12,0,5
"Eastern Michigan","Texas State",2024-11-04,1,71,54,12,0,20,75,68,19,1,24
"Eastern Oregon","Eastern Oregon",2024-11-04,-1,57,62,10,1,8,57,62,10,1,8
"Eastern Washington","Eastern Washington",2024-11-04,-1,82,71,15,0,19,82,71,15,0,19
"Elon","High Point",2024-11-04,1,66,55,8,1,25,65,47,9,0,17
"Emory & Henry","Emory & Henry",2024-11-04,-1,54,55,11,2,13,54,55,11,2,13
"Fairfield","Fairfield",2024-11-04,-1,81,68,11,2,2,81,68,11,2,2
"Fairleigh Dickinson","Dominican (NY)",2024-11-04,1,79,68,16,0,18,57,66,13,1,14
"Faulkner","Faulkner",2024-11-04,-1,58,49,10,0,24,58,49,10,0,24
"Florida","Florida Atlantic",2024-11-04,1,82,66,16,0,24,54,63,16,0,16
"Florida A&M","Howard",2024-11-04,1,66,62,18,2,24,78,57,9,1,19
"Florida Atlantic","Florida Atlantic",2024-11-04,-1,54,63,16,0,16,54,63,16,0,16
"Florida International","Florida National",2024-11-04,1,132,84,26,1,27,25,52,5,4,10
"Florida National","Florida National",2024-11-04,-1,25,52,5,4,10,25,52,5,4,10
"Florida State","North Florida",2024-11-04,1,119,88,28,0,31,49,59,9,1,11
"Fordham","Adelphi",2024-11-04,1,50,44,6,1,15,58,48,2,2,9
"Fresno Pacific","Fresno Pacific",2024-11-04,-1,46,58,12,2,4,46,58,12,2,4
"Fresno State","Fresno Pacific",2024-11-04,1,72,51,10,0,30,46,58,12,2,4
"Frostburg State","Frostburg State",2024-11-04,-1,70,61,14,0,10,70,61,14,0,10
"Furman","Furman",2024-11-04,-1,60,57,10,0,11,60,57,10,0,11
"Gardner-Webb","West Georgia",2024-11-04,1,67,63,13,1,11,63,62,11,0,17
"George Mason","Johnson C Smith",2024-11-04,1,106,76,17,0,24,51,47,5,2,18
"George Washington","Delaware",2024-11-04,1,78,54,10,1,28,66,64,9,0,19
"Georgia","North Carolina Central",2024-11-04,1,96,78,23,0,30,52,58,3,1,13
"Georgia Southern","Georgia Southern",2024-11-04,-1,82,80,24,0,14,82,80,24,0,14
