Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
A'ja Wilson,LVA,F,40,1228,40,1228,32.9,0.627,0.565,0.048,0.478,8.2,17.9,9.2,2.2,6,7.9,28.9,123,93,,6.8,3.5,10.4,0.338
Alaina Coates,TOT,C,12,35,12,35,4.5,0.709,0.833,0,0.667,7,16.5,0,4.3,0,47.4,19,67,94,,-0.1,0.1,0,-0.051
Bernadett Hatar,CON,C,6,47,6,47,5.4,0.375,0.375,0,0,7.6,11.5,3.4,4.4,3.9,20,19.3,69,94,,-0.2,0.1,0,-0.04
Candace Parker,LVA,F-C,18,425,18,425,19.7,0.573,0.531,0.395,0.217,4.6,13.2,22.6,3.1,3.1,18,18.2,111,95,,0.9,1.1,2.1,0.193
Kiah Stokes,LVA,C,40,792,40,792,9.6,0.473,0.464,0.325,0.217,7,17.1,3.7,1.6,4,15.8,6.1,107,96,,0.5,2,2.4,0.123
Breanna Stewart,NYL,F,40,1365,40,1365,28.6,0.585,0.525,0.34,0.354,5.6,15.5,19.5,2.2,3.8,6.9,27.5,122,96,,7,3.3,10.3,0.302
Alyssa Thomas,CON,F,40,1446,40,1446,20.8,0.52,0.474,0.006,0.363,6.6,16.3,37.8,2.6,1.2,18.7,23,106,97,,2.8,3.3,6.1,0.169
Rebekah Gardner,CHI,G,3,59,3,59,17.4,0.631,0.536,0.357,0.429,1.9,11,17.9,5.2,1.4,23.1,16.4,110,97,,0.1,0.1,0.2,0.164
Nneka Ogwumike,LAS,F,36,1119,36,1119,25.3,0.587,0.532,0.12,0.312,6.2,17.1,18.4,2.8,2.2,12,27.3,110,98,,3.1,2.5,5.6,0.201
Olivia Nelson-Ododa,CON,C,39,585,39,585,14.8,0.588,0.537,0,0.537,10.2,14.7,6.2,1.8,5.1,16.7,13.9,112,98,,1,1.3,2.3,0.157
Jonquel Jones,NYL,F,40,1001,40,1001,20.1,0.613,0.575,0.272,0.24,12.3,19.1,11.8,1.2,4.2,18.4,20.1,113,98,,2.5,2.2,4.7,0.189
Brionna Jones,CON,F,13,412,13,412,22.9,0.625,0.579,0.029,0.414,11.9,15.4,13.6,3,1.5,14.9,21.4,117,98,,1.4,0.9,2.3,0.225
Lorela Cubaj,ATL,F-C,3,19,3,19,-2.4,0,0,0,0,0,20.7,0,0,4.5,50,4.6,0,98,,-0.1,0,0,-0.043
Shakira Austin,WAS,C-F,19,440,19,440,15.6,0.528,0.5,0,0.383,7.5,17.8,7.1,1.8,3.6,16.3,22.4,94,98,,-0.1,1,0.9,0.078
Queen Egbo,TOT,F-C,37,475,37,475,13.5,0.528,0.5,0,0.318,9.8,19.7,4.1,1.6,4.5,17.2,19.5,95,99,,0,1,0.9,0.079
Han Xu,NYL,C,8,36,8,36,-1.9,0.3,0.3,0.35,0,10,11.1,0,2.8,2.3,20,30.9,56,99,,-0.3,0.1,-0.2,-0.271
Iliana Rupert,ATL,C,20,158,20,158,8.8,0.466,0.441,0.647,0.235,5,13.9,9.7,2.2,3.8,21,13.2,88,99,,-0.1,0.3,0.2,0.05
Cheyenne Parker,ATL,F,40,1066,40,1066,21,0.551,0.499,0.113,0.304,9.2,14.1,13.2,2,4.7,14.3,26.1,104,99,,1.6,2.1,3.7,0.139
Rebecca Allen,CON,G,40,858,40,858,11.9,0.506,0.492,0.479,0.113,3.9,7.9,6.8,2.2,5.3,11.9,15.1,98,99,,0.2,1.7,1.9,0.087
Brittney Sykes,WAS,G,40,1252,40,1252,18.6,0.54,0.492,0.307,0.293,3.5,9.3,22.7,3.4,1,14,25,102,100,,1.5,2.4,3.9,0.125
Azura Stevens,LAS,C,35,910,35,910,13.8,0.479,0.451,0.295,0.165,6.9,13.7,8.1,2.3,3.3,11.6,22.5,92,100,,-0.6,1.7,1.2,0.052
Chiney Ogwumike,LAS,F-C,10,212,10,212,12.7,0.476,0.437,0.165,0.266,7.7,12.2,11.2,3.1,1.3,12,21.6,94,100,,-0.1,0.4,0.3,0.065
Chelsea Gray,LVA,G,40,1288,40,1288,21.8,0.603,0.56,0.331,0.233,1.1,7.1,34,2.2,1.6,16.6,21.2,117,100,,4.6,2.3,7,0.216
Cayla George,LVA,C-F,32,273,32,273,1.8,0.356,0.361,0.615,0.029,6.8,12.3,6.5,1.8,1.5,20.4,21.8,68,100,,-1.2,0.5,-0.7,-0.106
Sydney Colson,LVA,G,28,135,28,135,13.1,0.59,0.556,0.593,0.222,3.6,5.1,21.7,3.3,0.6,16.8,11.9,122,100,,0.4,0.3,0.6,0.181
Nia Coffey,ATL,F,31,680,31,680,11.5,0.528,0.518,0.427,0.125,2.5,12.4,11.6,1.2,4.6,18.2,15.9,93,100,,-0.2,1.2,1,0.061
DeWanna Bonner,CON,F-G,40,1203,40,1203,20.7,0.555,0.494,0.416,0.33,3.5,11.1,13.1,1.8,1.9,8.5,25.9,110,100,,3.2,2.2,5.4,0.178
Kayla Thornton,NYL,F,40,693,40,693,11.8,0.545,0.517,0.533,0.2,8.3,11.6,5.5,2,1.2,10.9,11.8,114,101,,1.1,1.2,2.3,0.132
Alanna Smith,CHI,F,38,1007,38,1007,17.1,0.58,0.555,0.385,0.306,8,14.6,10.7,2.5,4.1,15.7,15.8,110,101,,1.8,1.8,3.5,0.14
Nyara Sabally,NYL,F,33,260,33,260,8.8,0.52,0.441,0.153,0.542,8.8,15.3,3.8,0.8,2.2,19.8,15.6,98,101,,0.1,0.4,0.5,0.076
Myisha Hines-Allen,WAS,F,35,617,35,617,9.4,0.419,0.381,0.307,0.214,6.8,14.7,20.7,1.9,0.9,18.1,21.3,86,101,,-1.1,1.1,0,0.001
Elena Delle Donne,WAS,F-G,23,633,23,633,23,0.583,0.526,0.208,0.273,3.6,11.6,15.6,1.5,3,8.4,25.9,112,101,,1.9,1.1,2.9,0.185
Jordin Canada,LAS,G,38,1237,38,1237,16.9,0.534,0.455,0.305,0.392,0.8,5.7,32,3.5,0.7,17.9,21.3,102,101,,1.3,2.1,3.4,0.111
Kristine Anigwe,TOT,F-C,13,89,13,89,7.5,0.454,0.417,0.042,0.333,10.3,14.6,7,1.7,4.6,20.3,17.4,87,102,,-0.1,0.1,0,0.017
