TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!,
New York Liberty,27,23,4,0.852,40,86.2,31.1,68.5,45.4,10.4,29.7,34.9,13.6,16.4,83.1,7.3,28.3,35.6,22.8,13.5,8,4.4,3,15.1,16.9,10.1,10.1
Connecticut Sun,25,19,6,0.76,40.4,81,29.3,66.2,44.3,5.8,17.8,32.4,16.6,21.8,76.1,8.9,24.6,33.5,19.7,13.2,8.1,2.9,4.6,16.4,18.5,7.3,7.3
Minnesota Lynx,27,19,8,0.704,40.6,81.7,29.8,67.8,44,9.8,25.5,38.5,12.3,15.7,78.1,7.4,27.1,34.6,23.1,14.4,9.1,4.6,3.9,17,15.7,6.7,6.7
Seattle Storm,26,17,9,0.654,40.4,84.2,31,71.2,43.5,6,20.6,29.2,16.2,19.5,83.4,9.3,26.3,35.7,20.8,13.9,9.7,5.4,5,17.2,17.4,6.3,6.3
Las Vegas Aces,25,16,9,0.64,40.2,87.8,31,68.9,45.1,9.4,27.1,34.6,16.4,19.5,84,5.9,29.5,35.4,20.7,11.9,6.7,5.3,3.8,16.8,17.5,5,5
Phoenix Mercury,27,14,13,0.519,40.4,84,29.7,67.1,44.3,9.3,26.8,34.5,15.3,18.9,80.8,6.7,25.5,32.2,19.7,14.1,6.9,5,3.4,17.7,17.6,-1.5,-1.5
Indiana Fever,27,12,15,0.444,40,82.4,30.4,67.7,44.9,8.5,25.4,33.3,13.1,16.9,77.2,8.3,26.2,34.5,20.3,15.2,5.9,4.6,3.8,18.4,17.2,-5,-5
Chicago Sky,26,11,15,0.423,40,79.1,30.5,71.8,42.6,4.5,14.4,31.2,13.5,18.3,73.9,11.3,25.5,36.8,19.2,13.9,8.1,3.7,6.2,19.3,17.5,-2.4,-2.4
Atlanta Dream,25,8,17,0.32,40,75.5,27.4,66.1,41.4,5.3,17.4,30.5,15.5,20.1,76.9,8.4,26.9,35.3,18.4,15,7.2,4,4.1,17,17.2,-5.6,-5.6
Dallas Wings,26,6,20,0.231,40.4,82.3,31.1,69.8,44.5,6,18.6,32.2,14.1,18,78.3,10.4,24.1,34.5,20,16.6,7.7,4.3,4.5,18.3,17.7,-8.2,-8.2
Los Angeles Sparks,26,6,20,0.231,40.2,78.8,27.8,65.9,42.1,7.5,22.7,33.1,15.8,20.7,76.2,7.4,25.2,32.6,20.2,15.9,6.9,3.3,5.2,18.8,19.1,-7.4,-7.4
Washington Mystics,27,6,21,0.222,40.2,79,28.7,66.9,43,9.6,26.4,36.5,11.9,15.6,76.3,6.8,24.7,31.6,22.1,16,7,3,3.3,19,19.1,,
