Player,Team,Bday
A'ja Wilson,Las Vegas Aces,"August 8, 1996"
Aaliyah Edwards,Washington Mystics,"July 9, 2002"
Aari McDonald,Los Angeles Sparks,"August 20, 1998"
Aerial Powers,Atlanta Dream,"January 17, 1994"
Alanna Smith,Minnesota Lynx,"September 10, 1996"
Alissa Pili,Minnesota Lynx,"June 8, 2001"
Aliyah Boston,Indiana Fever,"December 11, 2001"
Allisha Gray,Atlanta Dream,"January 12, 1995"
Alysha Clark,Las Vegas Aces,"July 7, 1987"
Alyssa Thomas,Connecticut Sun,"April 12, 1992"
Angel Reese,Chicago Sky,"May 6, 2002"
Ariel Atkins,Washington Mystics,"July 30, 1996"
Arike Ogunbowale,Dallas Wings,"March 2, 1997"
Astou Ndour-Fall,Connecticut Sun,"August 22, 1994"
Azurá Stevens,Los Angeles Sparks,"February 1, 1996"
Betnijah Laney-Hamilton,New York Liberty,"October 29, 1993"
Breanna Stewart,New York Liberty,"August 27, 1994"
Brianna Turner,Chicago Sky,"July 5, 1996"
Bridget Carleton,Minnesota Lynx,"May 22, 1997"
Brionna Jones,Connecticut Sun,"December 18, 1995"
Brittney Griner,Phoenix Mercury,"October 18, 1990"
Brittney Sykes,Washington Mystics,"February 7, 1994"
Caitlin Bickle,Connecticut Sun,"May 5, 2000"
Caitlin Clark,Indiana Fever,"January 22, 2002"
Cameron Brink,Los Angeles Sparks,"December 31, 2001"
Cecilia Zandalasini,Minnesota Lynx,"March 16, 1996"
Celeste Taylor,Phoenix Mercury,"June 20, 2001"
Charisma Osborne,Phoenix Mercury,"July 3, 2001"
Chelsea Gray,Las Vegas Aces,"October 8, 1992"
Chennedy Carter,Chicago Sky,"November 14, 1998"
Cheyenne Parker-Tyus,Atlanta Dream,"August 22, 1992"
Courtney Vandersloot,New York Liberty,"February 8, 1989"
Courtney Williams,Minnesota Lynx,"May 11, 1994"
Crystal Dangerfield,Los Angeles Sparks,"May 11, 1998"
Damiris Dantas,Indiana Fever,"November 17, 1992"
Dana Evans,Chicago Sky,"August 1, 1998"
DeWanna Bonner,Connecticut Sun,"August 21, 1987"
Dearica Hamby,Los Angeles Sparks,"November 6, 1993"
DiJonai Carrington,Connecticut Sun,"January 8, 1998"
Diamond DeShields,Chicago Sky,"March 5, 1995"
Diamond Miller,Minnesota Lynx,"February 11, 2001"
Diana Taurasi,Phoenix Mercury,"June 11, 1982"
Dorka Juhasz,Minnesota Lynx,"December 18, 1999"
Elizabeth Williams,Chicago Sky,"June 23, 1993"
Emily Engstler,Washington Mystics,"May 1, 2000"
Erica Wheeler,Indiana Fever,"May 2, 1991"
Ezi Magbegor,Seattle Storm,"August 13, 1999"
Gabby Williams,Seattle Storm,"September 9, 1996"
Grace Berger,Indiana Fever,"June 3, 1999"
Haley Jones,Atlanta Dream,"May 23, 2001"
Isabelle Harrison,Chicago Sky,"September 27, 1993"
Ivana Dojkić,New York Liberty,"December 24, 1997"
Jackie Young,Las Vegas Aces,"September 16, 1997"
Jacy Sheldon,Dallas Wings,"August 23, 2000"
Jade Melbourne,Washington Mystics,"August 18, 2002"
Jaelyn Brown,Dallas Wings,"October 12, 1998"
Jaylyn Sherrod,New York Liberty,"October 21, 2001"
Jewell Loyd,Seattle Storm,"October 5, 1993"
Jonquel Jones,New York Liberty,"January 5, 1994"
Jordan Horston,Seattle Storm,"May 21, 2001"
