Player,Team,Pos,G,MP,G,MP,Shoot_foul,Off_foul,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
A'ja Wilson,LVA,C,37,1273,37,1273,41,9,37,376,725,0.519,19,60,0.317,357,665,0.537,229,271,0.845,79,444,86,67,98,47,66,1000
Aaliyah Edwards,WAS,F,34,741,34,741,42,15,17,103,210,0.49,0,7,0,103,203,0.507,52,80,0.65,48,191,48,25,27,50,91,258
Aari McDonald,LAS,G,26,568,26,568,14,3,10,77,191,0.403,29,91,0.319,48,100,0.48,43,51,0.843,12,52,96,23,6,48,52,226
Aerial Powers,ATL,G,17,304,17,304,14,2,2,49,138,0.355,14,36,0.389,35,102,0.343,34,43,0.791,15,56,24,16,4,18,35,146
Alanna Smith,MIN,F,37,983,37,983,55,14,37,141,300,0.47,46,113,0.407,95,187,0.508,52,70,0.743,58,205,118,50,54,70,115,380
Alissa Pili,MIN,F,21,116,21,116,12,4,0,16,38,0.421,8,24,0.333,8,14,0.571,5,9,0.556,6,25,5,3,2,16,26,45
Aliyah Boston,IND,F-C,39,1218,39,1218,58,19,39,232,441,0.526,7,26,0.269,225,415,0.542,79,108,0.731,111,352,123,34,49,77,128,550
Allisha Gray,ATL,G,38,1276,38,1276,43,7,38,197,493,0.4,66,196,0.337,131,297,0.441,137,174,0.787,42,168,101,42,26,65,91,597
Alysha Clark,LVA,F,38,924,38,924,49,8,17,80,179,0.447,45,118,0.381,35,61,0.574,23,28,0.821,20,139,67,33,11,54,104,228
Alyssa Thomas,CON,F,38,1239,38,1239,28,19,38,152,308,0.494,0,4,0,152,304,0.5,88,141,0.624,91,324,300,59,18,138,82,392
Amy Atwell,PHO,F,4,25,4,25,1,0,0,3,9,0.333,2,7,0.286,1,2,0.5,1,1,1,1,2,2,0,1,1,2,9
Angel Reese,CHI,F,34,1104,34,1104,42,17,34,164,419,0.391,3,16,0.188,161,403,0.4,131,178,0.736,172,446,63,44,16,75,119,462
Ariel Atkins,WAS,G,38,1151,38,1151,45,5,38,203,474,0.428,71,205,0.346,132,269,0.491,81,96,0.844,36,131,119,56,17,89,104,558
Arike Ogunbowale,DAL,G,38,1466,38,1466,26,19,38,279,729,0.383,112,324,0.346,167,405,0.412,175,190,0.921,29,173,195,81,11,103,107,845
Astou Ndour-Fall,CON,C-F,21,82,21,82,3,0,0,8,25,0.32,2,10,0.2,6,15,0.4,5,6,0.833,2,17,1,1,2,3,10,23
Azura Stevens,LAS,F-C,18,459,18,459,27,1,17,68,160,0.425,27,69,0.391,41,91,0.451,22,27,0.815,19,132,38,16,17,31,38,185
Betnijah Laney,NYL,G-F,26,798,26,798,16,5,23,113,248,0.456,37,96,0.385,76,152,0.5,46,51,0.902,29,111,90,30,1,64,57,309
