Rk,Team,AP#,Date,PTS,,Opp,OppAP#,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,Michigan,-,2025-03-07,+27,N,Maryland,15,W 98-71,200,36,59,0.61,24,36,0.667,12,23,0.522,14,20,0.7,98,27,56,0.482,23,43,0.535,4,13,0.308,13,20,0.65,71,+9,+3,+.128,+1,-7,+.132,+8,+10,+.214,+1,0,+.050,+27
2,Iowa State,-,2025-03-02,+22,,Kansas State,14,W 85-63,200,30,56,0.536,23,39,0.59,7,17,0.412,18,25,0.72,85,23,69,0.333,14,33,0.424,9,36,0.25,8,14,0.571,63,+7,-13,+.202,+9,+6,+.166,-2,-19,+.162,+10,+11,+.149,+22
3,Nebraska,-,2025-02-13,+20,@,Maryland,17,W 91-71,200,34,67,0.507,22,46,0.478,12,21,0.571,11,16,0.688,91,24,58,0.414,17,43,0.395,7,15,0.467,16,20,0.8,71,+10,+9,+.094,+5,+3,+.083,+5,+6,+.105,-5,-4,-0.113,+20
4,Georgia Tech,-,2024-11-25,+16,N,Oregon,21,W 74-58,200,29,73,0.397,24,52,0.462,5,21,0.238,11,14,0.786,74,24,59,0.407,22,46,0.478,2,13,0.154,8,14,0.571,58,+5,+14,-0.01,+2,+6,-0.017,+3,+8,+.084,+3,0,+.214,+16
5,Alabama,-,2024-12-20,+15,N,Michigan State,15,W 82-67,200,28,58,0.483,19,37,0.514,9,21,0.429,17,23,0.739,82,23,61,0.377,20,48,0.417,3,13,0.231,18,23,0.783,67,+5,-3,+.106,-1,-11,+.097,+6,+8,+.198,-1,0,-0.043,+15
6,Arizona,-,2025-01-25,+15,,West Virginia,16,W 77-62,200,27,55,0.491,20,36,0.556,7,19,0.368,16,19,0.842,77,26,61,0.426,25,49,0.51,1,12,0.083,9,15,0.6,62,+1,-6,+.065,-5,-13,+.045,+6,+7,+.285,+7,+4,+.242,+15
7,Ole Miss,-,2025-02-02,+15,@,Vanderbilt,23,W 76-61,200,32,59,0.542,30,47,0.638,2,12,0.167,10,14,0.714,76,23,49,0.469,21,40,0.525,2,9,0.222,13,16,0.813,61,+9,+10,+.073,+9,+7,+.113,0,+3,-0.056,-3,-2,-0.098,+15
8,Louisville,-,2025-02-13,+14,@,Florida State,23,W 83-69,200,34,71,0.479,26,54,0.481,8,17,0.471,7,11,0.636,83,23,61,0.377,20,41,0.488,3,20,0.15,20,26,0.769,69,+11,+10,+.102,+6,+13,-0.006,+5,-3,+.321,-13,-15,-0.133,+14
9,Indiana,-,2024-11-17,+13,,Stanford,24,W 79-66,200,25,51,0.49,16,32,0.5,9,19,0.474,20,24,0.833,79,26,65,0.4,24,54,0.444,2,11,0.182,12,17,0.706,66,-1,-14,+.090,-8,-22,+.056,+7,+8,+.292,+8,+7,+.127,+13
10,Iowa,-,2025-03-06,+13,N,Michigan State,24,W 74-61,200,26,55,0.473,20,30,0.667,6,25,0.24,16,21,0.762,74,23,57,0.404,17,35,0.486,6,22,0.273,9,11,0.818,61,+3,-2,+.069,+3,-5,+.181,0,+3,-0.033,+7,+10,-0.056,+13
11,Northern Iowa,-,2024-11-20,+12,,Iowa State,8,W 87-75,200,30,61,0.492,18,36,0.5,12,25,0.48,15,18,0.833,87,28,62,0.452,20,38,0.526,8,24,0.333,11,15,0.733,75,+2,-1,+.040,-2,-2,-0.026,+4,+1,+.147,+4,+3,+.100,+12
12,Clemson,-,2025-01-02,+11,,California,20,W 69-58,200,26,56,0.464,22,45,0.489,4,11,0.364,13,19,0.684,69,24,61,0.393,20,41,0.488,4,20,0.2,6,7,0.857,58,+2,-5,+.071,+2,+4,+.001,0,-9,+.164,+7,+12,-0.173,+11
13,Utah,-,2024-11-30,+11,N,Notre Dame,3,W 78-67,200,28,61,0.459,19,37,0.514,9,24,0.375,13,16,0.813,78,25,62,0.403,20,48,0.417,5,14,0.357,12,13,0.923,67,+3,-1,+.056,-1,-11,+.097,+4,+10,+.018,+1,+3,-0.111,+11
14,Virginia Tech,-,2025-01-09,+11,@,Georgia Tech,13,W 105-94 (2OT),250,37,79,0.468,25,52,0.481,12,27,0.444,19,23,0.826,105,35,74,0.473,29,52,0.558,6,22,0.273,18,26,0.692,94,+2,+5,-0.005,-4,0,-0.077,+6,+5,+.172,+1,-3,+.134,+11
15,Colorado,-,2025-01-25,+10,,Kansas State,10,W 63-53,200,27,55,0.491,23,37,0.622,4,18,0.222,5,6,0.833,63,22,59,0.373,14,31,0.452,8,28,0.286,1,2,0.5,53,+5,-4,+.118,+9,+6,+.170,-4,-10,-0.063,+4,+4,+.333,+10
16,Indiana,-,2025-02-20,+10,,Ohio State,8,W 71-61,200,25,46,0.543,16,29,0.552,9,17,0.529,12,14,0.857,71,24,57,0.421,18,39,0.462,6,18,0.333,7,12,0.583,61,+1,-11,+.122,-2,-10,+.090,+3,-1,+.196,+5,+2,+.274,+10
17,Michigan,-,2025-02-09,+10,@,Michigan State,20,W 71-61,200,24,54,0.444,18,38,0.474,6,16,0.375,17,19,0.895,71,21,66,0.318,16,52,0.308,5,14,0.357,14,18,0.778,61,+3,-12,+.126,+2,-14,+.166,+1,+2,+.018,+3,+1,+.117,+10
18,Tennessee,-,2024-12-07,+10,N,Iowa,17,W 78-68,200,30,77,0.39,23,48,0.479,7,29,0.241,11,16,0.688,78,23,50,0.46,20,36,0.556,3,14,0.214,19,23,0.826,68,+7,+27,-0.07,+3,+12,-0.076,+4,+15,+.027,-8,-7,-0.139,+10
19,Baylor,-,2025-01-14,+9,,Utah,23,W 70-61,200,29,54,0.537,24,37,0.649,5,17,0.294,7,9,0.778,70,24,59,0.407,17,36,0.472,7,23,0.304,6,9,0.667,61,+5,-5,+.130,+7,+1,+.176,-2,-6,-0.01,+1,0,+.111,+9
20,Illinois,-,2024-11-07,+9,,Florida State,19,W 83-74,200,29,62,0.468,27,49,0.551,2,13,0.154,23,31,0.742,83,31,78,0.397,26,57,0.456,5,21,0.238,7,12,0.583,74,-2,-16,+.070,+1,-8,+.095,-3,-8,-0.084,+16,+19,+.159,+9
21,Louisville,-,2025-01-12,+9,,Georgia Tech,13,W 69-60,200,29,55,0.527,26,38,0.684,3,17,0.176,8,12,0.667,69,24,48,0.5,19,36,0.528,5,12,0.417,7,11,0.636,60,+5,+7,+.027,+7,+2,+.156,-2,+5,-0.24,+1,+1,+.030,+9
22,Ole Miss,-,2025-02-10,+9,,Kentucky,8,W 66-57,200,25,77,0.325,23,63,0.365,2,14,0.143,14,21,0.667,66,25,56,0.446,21,42,0.5,4,14,0.286,3,4,0.75,57,0,+21,-0.122,+2,+21,-0.135,-2,0,-0.143,+11,+17,-0.083,+9
