Rk,Player,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
1,Monique Akoa Makani,2025,24,PHO,40,39,0,21.6,2.8,6.6,1.6,3.6,1.2,3.1,1,1,0.6,1.6,2.2,2.7,0.8,0.1,1.4,2.5,7.7,0.424,0.458,0.385,0.927,0.548,0.513,G
2,Marième Badiane,2025,30,MIN,3,0,0,3.7,0,1,0,0.7,0,0.3,0,0,0.3,0,0.3,0,0.7,0,0.7,2,0,0,0,0,,0,0,C
3,Sarah Ashlee Barker,2025,23,LAS,33,7,0,13.4,0.8,2.8,0.3,1.1,0.5,1.7,0.5,0.7,0.3,1.6,1.9,0.9,0.3,0.1,1.1,1.3,2.7,0.304,0.306,0.304,0.708,0.439,0.397,G
4,Chloe Bibby,2025,27,GSVIND,14,0,0,11,1.5,3.9,0.3,0.9,1.2,3,0.6,0.6,0.4,1.4,1.8,0.5,0.6,0.1,0.5,0.9,4.8,0.382,0.308,0.405,0.889,0.568,0.536,F
5,Paige Bueckers,2025,23,DAL,35,35,1,33.4,7.1,15,6.1,11.7,1.1,3.3,3.8,4.3,0.6,3.2,3.8,5.3,1.6,0.5,2,2.3,19.1,0.474,0.517,0.322,0.893,0.566,0.51,G
6,Kaitlyn Chen,2025,23,GSV,23,0,0,10.5,0.8,2.2,0.6,1.5,0.2,0.7,0.2,0.3,0.2,0.7,1,1,0.2,0,0.8,0.7,2.1,0.38,0.4,0.333,0.714,0.452,0.43,G
7,Sonia Citron,2025,21,WAS,44,44,1,32.2,5.1,10.8,3.2,6.6,1.8,4.1,3,3.4,0.7,3.3,4,2.4,1.3,0.4,2.1,2.1,14.9,0.47,0.486,0.445,0.872,0.609,0.556,G
8,Kariata Diaby,2025,30,CON,13,0,0,7.9,0.5,1.1,0.5,1.1,0,0,0.8,1.1,0.2,0.8,1,0.4,0.5,0.1,0.9,1.5,1.9,0.5,0.5,,0.786,0.62,0.5,C
9,Sania Feagin,2025,22,LAS,15,0,0,4.5,0.5,1.7,0.5,1.5,0,0.3,0,0.1,0.2,0.5,0.7,0.1,0,0.4,0.5,0.9,1.1,0.308,0.364,0,0,0.298,0.308,F
10,Luisa Geiselsoder,2025,25,DAL,28,24,0,22.4,2.7,6.4,1.6,3,1.1,3.4,0.3,0.4,0.9,3.9,4.8,1.6,0.8,0.7,1,2.4,6.9,0.425,0.529,0.33,0.818,0.522,0.511,C
11,Bree Hall,2025,22,GSVIND,4,0,0,4.3,0.3,1.3,0.3,0.8,0,0.5,0.3,0.8,0,0.8,0.8,0,0,0,0.8,1,0.8,0.2,0.333,0,0.333,0.237,0.2,G
12,Lexi Held,2025,25,PHO,31,0,0,14.6,1.9,5.1,1.1,2.3,0.9,2.8,0.6,0.7,0.4,0.7,1,1.1,0.7,0.2,0.8,1.2,5.3,0.377,0.465,0.307,0.818,0.489,0.462,G
13,Mackenzie Holmes,2025,24,SEA,10,0,0,5.8,0.5,0.7,0.5,0.7,0,0,0,0,0.3,0.6,0.9,0.2,0.5,0.1,0,0.7,1,0.714,0.714,,,0.714,0.714,F
14,Kiki Iriafen,2025,21,WAS,44,44,1,26.9,5,10.3,5,10.1,0,0.3,3.1,4,2.6,6,8.5,1.6,0.6,0.2,2.2,2.9,13.3,0.488,0.495,0.182,0.784,0.548,0.49,F
15,Aziaha James,2025,22,DAL,37,8,0,17.3,2.6,7.2,1.8,4.4,0.8,2.8,1.1,1.5,0.9,1.9,2.8,1.6,0.6,0.2,0.9,1.2,7.2,0.363,0.414,0.286,0.759,0.456,0.419,G
16,Liatu King,2025,23,DALLAS,14,0,0,9.7,0.9,1.9,0.9,1.5,0.1,0.4,0.8,1.1,0.9,1.2,2.1,0.3,0.1,0,0.8,1,2.7,0.481,0.571,0.167,0.733,0.565,0.5,F
17,Elizabeth Kitley,2025,23,LVA,12,1,0,8.2,0.6,1.9,0.6,1.8,0,0.1,0.1,0.2,0.3,1.1,1.4,0.1,0.3,0.5,0.6,1.5,1.3,0.304,0.318,0,0.5,0.314,0.304,C
18,Anastasiia Kosu,2025,20,MIN,20,0,0,3.8,0.7,1.5,0.7,1.4,0,0.1,0.5,0.8,0.5,0.2,0.7,0.2,0.1,0.2,0.3,0.5,1.8,0.448,0.481,0,0.6,0.492,0.448,F
19,Leïla Lacan,2025,21,CON,25,15,0,26.6,4.2,8.7,3.6,6,0.6,2.7,1.4,1.7,0.7,1.7,2.4,3.7,2.2,0.2,1.9,3.3,10.4,0.477,0.589,0.224,0.857,0.548,0.511,G
20,Kitija Laksa,2025,29,PHO,32,5,0,18.8,2,5.5,0.8,1.8,1.1,3.6,0.8,1,0.3,0.9,1.2,0.6,0.4,0.2,0.6,1.4,5.9,0.36,0.458,0.31,0.813,0.497,0.463,G
21,Kyra Lambert,2025,28,IND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,G
22,Carla Leite,2025,21,GSV,36,6,0,17.4,2.4,6.1,2,4,0.4,2.1,2.3,2.7,0.3,1.1,1.3,2,0.7,0.1,1.6,1.5,7.4,0.393,0.503,0.176,0.845,0.51,0.422,G
23,Kyara Linskens,2025,28,GSV,4,0,0,6.8,0.5,1.3,0.5,1,0,0.3,0,0,0.3,1.3,1.5,0.3,0.3,0.8,0.5,1.8,1,0.4,0.5,0,,0.4,0.4,C
24,Dominique Malonga,2025,19,SEA,42,0,0,14.3,3.5,6.3,3.4,5.8,0.1,0.4,0.7,1.2,1.3,3.4,4.6,0.9,0.4,0.7,1.1,2.1,7.7,0.551,0.576,0.222,0.569,0.566,0.559,C
25,Rayah Marshall,2025,21,CON,14,0,0,6.1,0.6,1.8,0.6,1.7,0,0.1,0.4,0.7,0.4,1.4,1.8,0.3,0.1,0.1,0.4,0.7,1.6,0.36,0.375,0,0.5,0.391,0.36,C-F
26,Megan McConnell,2025,23,PHO,1,0,0,13,1,4,0,2,1,2,0,0,1,0,1,3,1,0,0,1,3,0.25,0,0.5,,0.375,0.375,G
27,Aneesah Morrow,2025,22,CON,40,22,0,18.6,2.7,7.1,2.3,5.4,0.5,1.8,1.7,2.2,2,4.8,6.8,0.5,0.8,0.5,1.1,2,7.6,0.382,0.425,0.254,0.77,0.469,0.414,F
28,Murjanatu Musa,2025,25,PHO,12,0,0,10.2,1.3,2.9,1.3,2.8,0.1,0.2,0.6,0.9,1.5,1.1,2.6,0.6,0.3,0.2,0.6,1.4,3.3,0.457,0.455,0.5,0.636,0.502,0.471,C
29,Aaliyah Nye,2025,22,LVA,43,1,0,15.2,1.3,3.8,0.5,1.2,0.8,2.6,0.3,0.4,0.3,1.1,1.5,0.5,0.3,0.2,0.6,1.3,3.8,0.348,0.415,0.315,0.824,0.475,0.454,G-F
30,Amy Okonkwo,2025,28,DAL,7,1,0,18.7,3.1,6.9,2.3,3.7,0.9,3.1,2.6,2.9,0.6,2.4,3,0.9,1,0.1,1,1.4,9.7,0.458,0.615,0.273,0.9,0.599,0.521,F
31,Lucy Olsen,2025,22,WAS,41,0,0,12.4,1.6,3.9,1.1,2.2,0.5,1.7,0.3,0.4,0.3,0.9,1.2,1.2,0.4,0.1,0.5,1.1,4,0.415,0.528,0.271,0.824,0.496,0.475,G
