Player,BadPass
Maya Caldwell,23
Jordin Canada,41
Nia Coffey,15
Allisha Gray,36
Brittney Griner,16
Naz Hillmon,30
Rhyne Howard,34
Brionna Jones,17
Te-Hina PaoPao,24
Kamiah Smalls,0
Taylor Thierry,0
Shatori Walker-Kimbrough,7
Rebecca Allen,23
Ariel Atkins,62
Rachel Banham,53
Kamilla Cardoso,50
Moriah Jefferson,1
Kia Nurse,29
Michaela Onyenwere,21
Angel Reese,55
Courtney Vandersloot,7
Hailey Van Lith,25
Maddy Westbeld,8
Elizabeth Williams,30
Lindsay Allen,24
Jaelyn Brown,2
Tina Charles,36
Kariata Diaby,3
Bria Hartley,37
Leïla Lacan,34
Marina Mabrey,56
Rayah Marshall,4
Aneesah Morrow,19
Olivia Nelson-Ododa,11
Robyn Parks,0
Haley Peters,11
Saniya Rivers,48
Mamignan Touré,3
Paige Bueckers,50
Luisa Geiselsöder,17
Tyasha Harris,2
Myisha Hines-Allen,43
Aziaha James,22
Teaira McCowan,2
Arike Ogunbowale,38
Amy Okonkwo,2
Ajae Petty,0
JJ Quinerly,30
Maddy Siegrist,8
Serena Sundell,1
Christyn Williams,1
Laeticia Amihere,5
Monique Billings,8
Veronica Burton,67
Kaitlyn Chen,12
Temi Fagbenle,21
Tiffany Hayes,31
Carla Leite,39
Kyara Linskens,1
Kate Martin,14
Iliana Rupert,7
Janelle Salaün,21
Kayla Thornton,9
Cecilia Zandalasini,11
Aliyah Boston,31
Caitlin Clark,42
Sydney Colson,23
Sophie Cunningham,9
Damiris Dantas,14
Natasha Howard,33
Lexie Hull,21
Kyra Lambert,0
Aari McDonald,29
Kelsey Mitchell,45
Makayla Timpson,1
Brianna Turner,6
Julie Allemand,38
Sarah Ashlee Barker,26
Cameron Brink,7
Rae Burrell,13
Emma Cannon,4
Sania Feagin,2
Dearica Hamby,57
Rickea Jackson,35
Kelsey Plum,71
Mercedes Russell,4
Azura Stevens,37
Kierstan Bell,11
Crystal Bradford,1
Dana Evans,31
Chelsea Gray,93
Megan Gustafson,2
Joyner Holmes,0
Elizabeth Kitley,3
Jewell Loyd,27
Aaliyah Nye,15
Cheyenne Parker-Tyus,1
Kiah Stokes,3
A'ja Wilson,41
Jackie Young,62
Yvonne Anderson,0
Marième Badiane,1
Bridget Carleton,17
Napheesa Collier,17
Natisha Hiedeman,38
Anastasiia Kosu,2
Kayla McBride,42
Karlie Samuelson,6
Jessica Shepard,25
Alanna Smith,32
Camryn Taylor,1
Maria Kliundikova,8
Courtney Williams,71
Kennedy Burke,15
Natasha Cloud,64
Leonie Fiebich,25
Rebekah Gardner,8
Isabelle Harrison,7
Sabrina Ionescu,66
Marine Johannes,39
Jonquel Jones,25
Emma Meesseman,19
Nyara Sabally,3
Breanna Stewart,25
Monique Akoa Makani,40
Kalani Brown,8
Kahleah Copper,32
Lexi Held,17
Kitija Laksa,9
Natasha Mack,9
Megan McConnell,0
Murjanatu Musa,4
Alexis Prince,2
Satou Sabally,39
Alyssa Thomas,89
Kathryn Westbeld,9
Sami Whitcomb,46
Kiana Williams,5
Lexie Brown,1
Zia Cooke,12
Skylar Diggins,58
Mackenzie Holmes,0
Ezi Magbegor,19
Dominique Malonga,18
Nneka Ogwumike,43
Erica Wheeler,47
Gabby Williams,53
Shakira Austin,44
Sonia Citron,49
Stefanie Dolson,14
Emily Engstler,23
Kiki Iriafen,28
Jade Melbourne,47
Lucy Olsen,9
Madison Scott,1
Sug Sutton,53
Grace Berger,16
Chloe Bibby,5
DeWanna Bonner,14
DiJonai Carrington,42
Kaila Charles,15
Alysha Clark,9
Marquesha Davis,2
Aaliyah Edwards,11
Bree Hall,0
Haley Jones,25
Liatu King,5
Sika Koné,1
Diamond Miller,8
Tiffany Mitchell,8
Shey Peddy,10
Alissa Pili,4
Aerial Powers,7
Jacy Sheldon,24
Jaylyn Sherrod,7
Odyssey Sims,20
NaLyssa Smith,16
Brittney Sykes,66
Stephanie Talbot,29
Sevgi Uzun,28
Julie Vanloo,39
Li Yueru,12
Jacy Sheldon,23
DiJonai Carrington,35
Kaila Charles,6
NaLyssa Smith,6
Chloe Bibby,0
Bree Hall,0
Aerial Powers,0
Stephanie Talbot,14
Julie Vanloo,19
DeWanna Bonner,6
Grace Berger,3
Liatu King,5
Shey Peddy,4
Odyssey Sims,10
Tiffany Mitchell,4
Diamond Miller,4
Alissa Pili,3
Marquesha Davis,1
Jaylyn Sherrod,6
Haley Jones,1
Sevgi Uzun,7
Alysha Clark,6
Li Yueru,0
Aaliyah Edwards,6
Sika Koné,1
Brittney Sykes,45
Grace Berger,13
Aerial Powers,7
Bree Hall,0
Haley Jones,24
Chloe Bibby,5
Shey Peddy,6
Sevgi Uzun,21
Marquesha Davis,1
Li Yueru,12
Julie Vanloo,20
DeWanna Bonner,8
Sika Koné,0
Liatu King,0
Odyssey Sims,10
Alissa Pili,1
Stephanie Talbot,15
Tiffany Mitchell,4
Kaila Charles,9
NaLyssa Smith,10
Jaylyn Sherrod,1
DiJonai Carrington,7
Aaliyah Edwards,5
Diamond Miller,4
Brittney Sykes,21
Alysha Clark,3
Jacy Sheldon,1
