Rk,Date,Age,Tm,where,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2015-07-29,29-101,LAS,@,MIN,L (-6),1,35:13:00,4,9,0.444,0,2,0,4,4,1,0,7,7,9,2,1,4,2,12,13.6
2,2015-07-31,29-103,LAS,@,CHI,W (+11),1,34:54:00,12,20,0.6,0,1,0,7,8,0.875,2,7,9,4,0,2,2,3,31,25.9
3,2015-08-02,29-105,LAS,@,SAS,W (+2),1,34:43:00,7,14,0.5,1,2,0.5,2,3,0.667,1,10,11,5,2,3,3,0,17,17.9
4,2015-08-04,29-107,LAS,,MIN,W (+22),1,31:24:00,7,17,0.412,0,1,0,4,4,1,4,9,13,5,4,2,2,3,18,20.1
5,2015-08-06,29-109,LAS,,TUL,W (+27),1,29:00:00,4,9,0.444,0,0,,2,2,1,3,9,12,6,1,2,2,4,10,13.1
6,2015-08-09,29-112,LAS,@,MIN,L (-8),1,34:07:00,3,10,0.3,0,3,0,4,4,1,0,8,8,6,2,3,4,2,10,10.1
7,2015-08-11,29-114,LAS,,SEA,L (-8),1,36:27:00,3,12,0.25,0,3,0,6,7,0.857,1,9,10,9,0,2,2,4,12,11.9
8,2015-08-16,29-119,LAS,,CHI,W (+12),1,33:10:00,10,21,0.476,1,3,0.333,0,1,0,0,8,8,10,2,1,0,3,21,20.8
9,2015-08-18,29-121,LAS,,IND,L (-11),1,34:43:00,8,14,0.571,0,4,0,9,12,0.75,2,8,10,6,8,3,7,4,25,26.7
10,2015-08-21,29-124,LAS,@,PHO,W (+10),1,36:59:00,12,23,0.522,0,4,0,2,3,0.667,0,10,10,3,2,1,3,2,26,18.3
11,2015-08-23,29-126,LAS,@,SAS,W (+31),1,29:03:00,8,18,0.444,1,2,0.5,3,3,1,1,11,12,9,0,1,1,3,20,19.4
12,2015-08-26,29-129,LAS,@,IND,W (+2),1,37:54:00,4,10,0.4,1,3,0.333,6,10,0.6,0,10,10,9,3,0,3,4,15,15.7
13,2015-08-28,29-131,LAS,@,TUL,L (-10),1,35:04:00,9,17,0.529,0,1,0,6,7,0.857,2,9,11,4,4,3,3,2,24,24.5
14,2015-08-30,29-133,LAS,,SAS,W (+8),1,33:46:00,4,10,0.4,2,3,0.667,0,0,,0,11,11,4,0,3,2,1,10,10.4
15,2015-09-03,29-137,LAS,,WAS,W (+2),1,38:18:00,9,16,0.563,1,3,0.333,7,9,0.778,1,10,11,6,1,1,2,1,26,24.8
16,2015-09-06,29-140,LAS,,TUL,W (+19),1,36:02:00,12,17,0.706,5,8,0.625,4,4,1,1,7,8,5,0,1,0,1,33,32.5
