Rk,Date,Age,Tm,where,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2026-05-09,29-240,DAL,@,IND,W (+3),1,32:05:00,5,8,0.625,0,0,,3,5,0.6,1,8,9,9,2,0,2,5,13,16
2,2026-05-12,29-243,DAL,,ATL,L (-5),1,30:45:00,6,11,0.545,0,0,,0,0,,3,5,8,3,0,0,2,2,12,9.6
3,2026-05-14,29-245,DAL,,MIN,L (-4),1,30:48:00,3,8,0.375,0,1,0,1,2,0.5,2,4,6,4,1,0,0,3,7,7.4
4,2026-05-18,29-249,DAL,,WAS,W (+23),1,27:26:00,4,7,0.571,0,0,,4,5,0.8,4,12,16,6,0,0,0,1,12,18.5
5,2026-05-20,29-251,DAL,@,CHI,W (+10),1,31:27:00,6,7,0.857,0,1,0,6,9,0.667,1,9,10,12,0,0,1,3,18,23.9
6,2026-05-22,29-253,DAL,@,ATL,L (-17),1,31:14:00,5,11,0.455,0,1,0,0,0,,6,5,11,2,0,0,3,3,10,7.2
7,2026-05-24,29-255,DAL,@,NYL,W (+15),1,32:55:00,5,9,0.556,0,1,0,0,1,0,2,9,11,6,0,0,1,3,10,11.4
8,2026-05-28,29-259,DAL,,LVA,W (+8),1,37:50:00,8,13,0.615,0,1,0,6,6,1,4,16,20,10,0,0,2,3,22,27.5
9,2026-06-01,29-263,DAL,,SEA,W (+23),1,23:22,4,9,0.444,0,0,,1,2,0.5,2,6,8,1,1,0,0,0,9,8.8
10,2026-06-05,29-267,DAL,@,LAS,W (+8),1,37:35:00,9,13,0.692,0,0,,4,6,0.667,6,9,15,5,2,0,4,0,22,24.1
11,2026-06-09,29-271,DAL,@,MIN,L (-24),1,29:14:00,6,10,0.6,0,1,0,0,0,,3,6,9,4,0,0,1,4,12,11.5
12,2026-06-11,29-273,DAL,,PHO,W (+15),1,32:04:00,7,8,0.875,0,0,,3,4,0.75,3,7,10,7,2,0,0,0,17,24.9
13,2026-06-13,29-275,DAL,@,POR,L (-1),1,35:13:00,5,10,0.5,0,0,,3,5,0.6,4,10,14,2,1,0,3,1,13,12
14,2026-06-15,29-277,DAL,,LVA,W (+30),1,30:56:00,4,6,0.667,0,0,,7,10,0.7,2,13,15,9,2,0,3,1,15,21.4
15,2026-06-17,29-279,DAL,@,GSV,L (-11),1,32:48:00,7,13,0.538,0,0,,0,0,,2,8,10,4,0,0,0,3,14,13.1
16,2026-06-20,29-282,DAL,,CHI,W (+1),1,34:04:00,7,14,0.5,0,1,0,7,8,0.875,2,6,8,3,1,0,4,1,21,15.5
17,2026-06-22,29-284,DAL,@,SEA,W (+2),1,36:24:00,7,13,0.538,0,0,,0,0,,4,5,9,8,1,0,1,2,14,16.8
18,2026-06-25,29-287,DAL,@,LVA,L (-15),1,34:48:00,8,11,0.727,0,0,,6,8,0.75,2,12,14,4,1,0,2,3,22,22.3
19,2026-06-28,29-290,DAL,,MIN,L (-8),1,34:36:00,4,6,0.667,0,0,,0,0,,5,11,16,3,0,0,3,4,8,9.7
20,2026-07-02,29-294,DAL,@,CON,W (+3),1,29:41:00,6,10,0.6,0,0,,2,4,0.5,1,5,6,1,1,0,2,3,14,9.3
21,2026-07-05,29-297,DAL,@,TOR,W (+13),1,32:08:00,5,11,0.455,0,1,0,4,4,1,6,9,15,3,1,0,3,3,14,14.1
22,2026-07-07,29-299,DAL,@,NYL,W (+11),1,36:49:00,11,16,0.688,0,0,,0,0,,3,9,12,11,0,0,4,3,22,22.5
23,2026-07-10,29-302,DAL,@,TOR,W (+13),1,40:00:00,7,9,0.778,0,0,,6,8,0.75,6,11,17,3,1,0,4,2,20,21.5
24,2026-07-12,29-304,DAL,,CHI,W (+5),1,34:18:00,9,13,0.692,0,0,,1,2,0.5,4,6,10,5,0,0,1,1,19,19.8
