"season","series_idx","round","fmt","game","away","away_pts","home","home_pts","higher","home_is_higher","home_won"
1997,1,"Finals","single game",1,"New York Liberty",51,"Houston Comets",65,"Houston Comets",TRUE,TRUE
1997,2,"Semifinals","single game",1,"Charlotte Sting",54,"Houston Comets",70,"Houston Comets",TRUE,TRUE
1997,3,"Semifinals","single game",1,"New York Liberty",59,"Phoenix Mercury",41,"New York Liberty",FALSE,FALSE
1998,1,"Finals","bo3 1-2 (98-09)",1,"Houston Comets",51,"Phoenix Mercury",54,"Houston Comets",FALSE,TRUE
1998,1,"Finals","bo3 1-2 (98-09)",2,"Phoenix Mercury",69,"Houston Comets",74,"Houston Comets",TRUE,TRUE
1998,1,"Finals","bo3 1-2 (98-09)",3,"Phoenix Mercury",71,"Houston Comets",80,"Houston Comets",TRUE,TRUE
1998,2,"Semifinals","bo3 1-2 (98-09)",1,"Houston Comets",85,"Charlotte Sting",71,"Houston Comets",FALSE,FALSE
1998,2,"Semifinals","bo3 1-2 (98-09)",2,"Charlotte Sting",61,"Houston Comets",77,"Houston Comets",TRUE,TRUE
1998,3,"Semifinals","bo3 1-2 (98-09)",1,"Cleveland Rockers",68,"Phoenix Mercury",78,"Cleveland Rockers",FALSE,TRUE
1998,3,"Semifinals","bo3 1-2 (98-09)",2,"Phoenix Mercury",66,"Cleveland Rockers",67,"Cleveland Rockers",TRUE,TRUE
1998,3,"Semifinals","bo3 1-2 (98-09)",3,"Phoenix Mercury",71,"Cleveland Rockers",60,"Cleveland Rockers",TRUE,FALSE
1999,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"New York Liberty",67,"Charlotte Sting",78,"New York Liberty",FALSE,TRUE
1999,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Charlotte Sting",70,"New York Liberty",74,"New York Liberty",TRUE,TRUE
1999,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"Charlotte Sting",54,"New York Liberty",69,"New York Liberty",TRUE,TRUE
1999,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Houston Comets",60,"Los Angeles Sparks",75,"Houston Comets",FALSE,TRUE
1999,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Los Angeles Sparks",55,"Houston Comets",83,"Houston Comets",TRUE,TRUE
1999,3,"Western Conference Finals","bo3 1-2 (98-09)",3,"Los Angeles Sparks",62,"Houston Comets",72,"Houston Comets",TRUE,TRUE
1999,4,"Eastern Conference First Round","single game",1,"Charlotte Sting",60,"Detroit Shock",54,"Detroit Shock",TRUE,FALSE
1999,5,"Western Conference First Round","single game",1,"Sacramento Monarchs",58,"Los Angeles Sparks",71,"Los Angeles Sparks",TRUE,TRUE
2000,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"New York Liberty",43,"Cleveland Rockers",56,"New York Liberty",FALSE,TRUE
2000,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Cleveland Rockers",45,"New York Liberty",51,"New York Liberty",TRUE,TRUE
2000,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"Cleveland Rockers",67,"New York Liberty",81,"New York Liberty",TRUE,TRUE
2000,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",56,"Houston Comets",77,"Los Angeles Sparks",FALSE,TRUE
2000,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Houston Comets",74,"Los Angeles Sparks",69,"Los Angeles Sparks",TRUE,FALSE
2000,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Cleveland Rockers",55,"Orlando Miracle",62,"Cleveland Rockers",FALSE,TRUE
2000,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Orlando Miracle",54,"Cleveland Rockers",63,"Cleveland Rockers",TRUE,TRUE
2000,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Orlando Miracle",43,"Cleveland Rockers",72,"Cleveland Rockers",TRUE,TRUE
2000,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"New York Liberty",72,"Washington Mystics",63,"New York Liberty",FALSE,FALSE
2000,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Washington Mystics",57,"New York Liberty",78,"New York Liberty",TRUE,TRUE
2000,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Houston Comets",72,"Sacramento Monarchs",64,"Houston Comets",FALSE,FALSE
2000,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",70,"Houston Comets",75,"Houston Comets",TRUE,TRUE
2000,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",86,"Phoenix Mercury",71,"Los Angeles Sparks",FALSE,FALSE
2000,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Phoenix Mercury",76,"Los Angeles Sparks",101,"Los Angeles Sparks",TRUE,TRUE
2001,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"New York Liberty",61,"Charlotte Sting",57,"New York Liberty",FALSE,FALSE
2001,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Charlotte Sting",62,"New York Liberty",53,"New York Liberty",TRUE,FALSE
2001,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"Charlotte Sting",48,"New York Liberty",44,"New York Liberty",TRUE,FALSE
2001,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",74,"Sacramento Monarchs",73,"Los Angeles Sparks",FALSE,FALSE
2001,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",80,"Los Angeles Sparks",60,"Los Angeles Sparks",TRUE,FALSE
2001,3,"Western Conference Finals","bo3 1-2 (98-09)",3,"Sacramento Monarchs",62,"Los Angeles Sparks",93,"Los Angeles Sparks",TRUE,TRUE
2001,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Cleveland Rockers",46,"Charlotte Sting",53,"Cleveland Rockers",FALSE,TRUE
2001,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Charlotte Sting",51,"Cleveland Rockers",69,"Cleveland Rockers",TRUE,TRUE
2001,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Charlotte Sting",72,"Cleveland Rockers",64,"Cleveland Rockers",TRUE,FALSE
2001,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"New York Liberty",62,"Miami Sol",46,"New York Liberty",FALSE,FALSE
2001,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Miami Sol",53,"New York Liberty",50,"New York Liberty",TRUE,FALSE
2001,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Miami Sol",61,"New York Liberty",72,"New York Liberty",TRUE,TRUE
2001,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",64,"Houston Comets",59,"Los Angeles Sparks",FALSE,FALSE
2001,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Houston Comets",58,"Los Angeles Sparks",70,"Los Angeles Sparks",TRUE,TRUE
2001,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Sacramento Monarchs",89,"Utah Starzz",65,"Sacramento Monarchs",FALSE,FALSE
2001,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Utah Starzz",66,"Sacramento Monarchs",71,"Sacramento Monarchs",TRUE,TRUE
2002,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"New York Liberty",74,"Washington Mystics",79,"New York Liberty",FALSE,TRUE
2002,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Washington Mystics",79,"New York Liberty",96,"New York Liberty",TRUE,TRUE
2002,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"Washington Mystics",57,"New York Liberty",64,"New York Liberty",TRUE,TRUE
2002,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",75,"Utah Starzz",67,"Los Angeles Sparks",FALSE,FALSE
2002,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Utah Starzz",77,"Los Angeles Sparks",103,"Los Angeles Sparks",TRUE,TRUE
2002,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"New York Liberty",55,"Indiana Fever",73,"New York Liberty",FALSE,TRUE
2002,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Indiana Fever",65,"New York Liberty",84,"New York Liberty",TRUE,TRUE
2002,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",3,"Indiana Fever",60,"New York Liberty",75,"New York Liberty",TRUE,TRUE
2002,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Charlotte Sting",62,"Washington Mystics",74,"Charlotte Sting",FALSE,TRUE
2002,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Washington Mystics",62,"Charlotte Sting",59,"Charlotte Sting",TRUE,FALSE
2002,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",78,"Seattle Storm",61,"Los Angeles Sparks",FALSE,FALSE
2002,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Seattle Storm",59,"Los Angeles Sparks",69,"Los Angeles Sparks",TRUE,TRUE
2002,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Houston Comets",59,"Utah Starzz",66,"Houston Comets",FALSE,TRUE
2002,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Utah Starzz",77,"Houston Comets",83,"Houston Comets",TRUE,TRUE
2002,7,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Utah Starzz",75,"Houston Comets",72,"Houston Comets",TRUE,FALSE
2003,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"Detroit Shock",73,"Connecticut Sun",63,"Detroit Shock",FALSE,FALSE
2003,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Connecticut Sun",73,"Detroit Shock",79,"Detroit Shock",TRUE,TRUE
2003,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Los Angeles Sparks",69,"Sacramento Monarchs",77,"Los Angeles Sparks",FALSE,TRUE
2003,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",54,"Los Angeles Sparks",79,"Los Angeles Sparks",TRUE,TRUE
2003,3,"Western Conference Finals","bo3 1-2 (98-09)",3,"Sacramento Monarchs",63,"Los Angeles Sparks",66,"Los Angeles Sparks",TRUE,TRUE
2003,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Charlotte Sting",66,"Connecticut Sun",68,"Charlotte Sting",FALSE,TRUE
2003,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Connecticut Sun",68,"Charlotte Sting",62,"Charlotte Sting",TRUE,FALSE
2003,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Detroit Shock",76,"Cleveland Rockers",74,"Detroit Shock",FALSE,FALSE
2003,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Cleveland Rockers",66,"Detroit Shock",59,"Detroit Shock",TRUE,FALSE
