"season","series_idx","round","opening","fmt","bestof","winner","w_seed","wW","wL","loser","l_seed","lW","lL","ww","wl","comparable","higher_won"
1997,1,"Finals",FALSE,"single game",1,"Houston Comets","1",18,10,"New York Liberty","2",17,11,1,0,TRUE,TRUE
1997,2,"Semifinals",TRUE,"single game",1,"Houston Comets","1",18,10,"Charlotte Sting","4",15,13,1,0,TRUE,TRUE
1997,3,"Semifinals",TRUE,"single game",1,"New York Liberty","2",17,11,"Phoenix Mercury","3",16,12,1,0,TRUE,TRUE
1998,1,"Finals",FALSE,"bo3 1-2 (98-09)",3,"Houston Comets","1",27,3,"Phoenix Mercury","3",19,11,2,1,TRUE,TRUE
1998,2,"Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Houston Comets","1",27,3,"Charlotte Sting","4",18,12,2,0,TRUE,TRUE
1998,3,"Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Phoenix Mercury","3",19,11,"Cleveland Rockers","2",20,10,2,1,TRUE,FALSE
1999,1,"Finals",FALSE,"bo3 1-2 (98-09)",3,"Houston Comets","W1",26,6,"New York Liberty","E1",18,14,2,1,FALSE,NA
1999,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"New York Liberty","E1",18,14,"Charlotte Sting","E3",15,17,2,1,TRUE,TRUE
1999,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Houston Comets","W1",26,6,"Los Angeles Sparks","W2",20,12,2,1,TRUE,TRUE
1999,4,"Eastern Conference First Round",TRUE,"single game",1,"Charlotte Sting","E3",15,17,"Detroit Shock","E2",15,17,1,0,TRUE,FALSE
1999,5,"Western Conference First Round",TRUE,"single game",1,"Los Angeles Sparks","W2",20,12,"Sacramento Monarchs","W3",19,13,1,0,TRUE,TRUE
2000,1,"Finals",FALSE,"bo3 1-2 (98-09)",3,"Houston Comets","W2",27,5,"New York Liberty","E1",20,12,2,0,FALSE,NA
2000,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"New York Liberty","E1",20,12,"Cleveland Rockers","E2",17,15,2,1,TRUE,TRUE
2000,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Houston Comets","W2",27,5,"Los Angeles Sparks","W1",28,4,2,0,TRUE,FALSE
