"season","team","conf","W","L","wpct","playoff"
1997,"Houston Comets","e",18,10,0.642857142857143,TRUE
1997,"New York Liberty","e",17,11,0.607142857142857,TRUE
1997,"Charlotte Sting","e",15,13,0.535714285714286,TRUE
1997,"Cleveland Rockers","e",15,13,0.535714285714286,FALSE
1997,"Phoenix Mercury","w",16,12,0.571428571428571,TRUE
1997,"Los Angeles Sparks","w",14,14,0.5,FALSE
1997,"Sacramento Monarchs","w",10,18,0.357142857142857,FALSE
1997,"Utah Starzz","w",7,21,0.25,FALSE
1998,"Cleveland Rockers","e",20,10,0.666666666666667,TRUE
1998,"Charlotte Sting","e",18,12,0.6,TRUE
1998,"New York Liberty","e",18,12,0.6,FALSE
1998,"Detroit Shock","e",17,13,0.566666666666667,FALSE
1998,"Washington Mystics","e",3,27,0.1,FALSE
1998,"Houston Comets","w",27,3,0.9,TRUE
1998,"Phoenix Mercury","w",19,11,0.633333333333333,TRUE
1998,"Los Angeles Sparks","w",12,18,0.4,FALSE
1998,"Sacramento Monarchs","w",8,22,0.266666666666667,FALSE
1998,"Utah Starzz","w",8,22,0.266666666666667,FALSE
1999,"New York Liberty","e",18,14,0.5625,TRUE
1999,"Charlotte Sting","e",15,17,0.46875,TRUE
1999,"Detroit Shock","e",15,17,0.46875,TRUE
1999,"Orlando Miracle","e",15,17,0.46875,FALSE
1999,"Washington Mystics","e",12,20,0.375,FALSE
1999,"Cleveland Rockers","e",7,25,0.21875,FALSE
1999,"Houston Comets","w",26,6,0.8125,TRUE
1999,"Los Angeles Sparks","w",20,12,0.625,TRUE
1999,"Sacramento Monarchs","w",19,13,0.59375,TRUE
1999,"Minnesota Lynx","w",15,17,0.46875,FALSE
1999,"Phoenix Mercury","w",15,17,0.46875,FALSE
1999,"Utah Starzz","w",15,17,0.46875,FALSE
2000,"New York Liberty","e",20,12,0.625,TRUE
2000,"Cleveland Rockers","e",17,15,0.53125,TRUE
2000,"Orlando Miracle","e",16,16,0.5,TRUE
2000,"Washington Mystics","e",14,18,0.4375,TRUE
2000,"Detroit Shock","e",14,18,0.4375,FALSE
2000,"Miami Sol","e",13,19,0.40625,FALSE
2000,"Indiana Fever","e",9,23,0.28125,FALSE
2000,"Charlotte Sting","e",8,24,0.25,FALSE
2000,"Los Angeles Sparks","w",28,4,0.875,TRUE
2000,"Houston Comets","w",27,5,0.84375,TRUE
2000,"Sacramento Monarchs","w",21,11,0.65625,TRUE
2000,"Phoenix Mercury","w",20,12,0.625,TRUE
2000,"Utah Starzz","w",18,14,0.5625,FALSE
2000,"Minnesota Lynx","w",15,17,0.46875,FALSE
