Year,Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
2023,Lindsay Allen,MIN,G,29,698,29,698,11.3,0.48,0.42,0.209,0.325,2.8,5.9,29.3,1.2,0.4,16.6,14.5,105,111,,0.8,0.2,0.9,0.054
2023,Rebecca Allen,CON,G,40,858,40,858,11.9,0.506,0.492,0.479,0.113,3.9,7.9,6.8,2.2,5.3,11.9,15.1,98,99,,0.2,1.7,1.9,0.087
2023,Laeticia Amihere,ATL,F,20,147,20,147,8.8,0.466,0.405,0.024,0.976,3.8,7.6,4.4,1.7,5.2,15.5,21.2,86,102,,-0.2,0.2,0,0.006
2023,Ariel Atkins,WAS,G,27,679,27,679,16,0.554,0.498,0.494,0.271,3,7.2,15.8,2.4,1.2,11.1,21.3,106,103,,1.1,1,2.1,0.125
2023,Shakira Austin,WAS,C-F,19,440,19,440,15.6,0.528,0.5,0,0.383,7.5,17.8,7.1,1.8,3.6,16.3,22.4,94,98,,-0.1,1,0.9,0.078
2023,Rachel Banham,MIN,G,32,435,32,435,9.7,0.514,0.5,0.648,0.085,1.1,4.3,21.1,1.3,0.6,17.4,21.5,94,111,,-0.1,0.1,0,-0.004
2023,Kierstan Bell,LVA,G,36,424,36,424,6.8,0.419,0.412,0.536,0.065,4.1,7.6,5.9,1.7,1,8.2,18.2,86,102,,-0.5,0.7,0.1,0.013
2023,Grace Berger,IND,G,36,524,36,524,11.3,0.547,0.512,0.268,0.197,1.6,6.5,20,1.7,1,21.1,15,102,110,,0.4,0.2,0.6,0.044
2023,Morgan Bertsch,CHI,F,28,398,28,398,7.6,0.554,0.534,0.35,0.155,3.5,7,7.4,1.3,1.4,21.4,15.7,93,108,,-0.1,0.3,0.1,0.012
2023,Monique Billings,ATL,F,39,653,39,653,10.8,0.482,0.407,0.024,0.365,9.1,16.7,7.3,1.2,1.6,16,15.5,97,102,,0.1,1,1.1,0.07
2023,DeWanna Bonner,CON,F-G,40,1203,40,1203,20.7,0.555,0.494,0.416,0.33,3.5,11.1,13.1,1.8,1.9,8.5,25.9,110,100,,3.2,2.2,5.4,0.178
2023,Aliyah Boston,IND,F-C,40,1249,40,1249,23.2,0.619,0.583,0.025,0.36,11.9,16.3,12.7,2.2,3.6,13.8,19.4,120,104,,4.5,1.5,6,0.192
2023,Kalani Brown,DAL,C,32,524,32,524,21.3,0.688,0.629,0.007,0.601,11.7,15.5,9.9,0.7,3.7,18.8,17.9,124,106,,2,0.5,2.5,0.192
2023,Lexie Brown,LAS,G,12,364,12,364,15.3,0.631,0.608,0.586,0.144,0.6,4.1,14.2,1.5,0.8,11.9,16.8,113,106,,0.7,0.3,1.1,0.117
2023,Leigha Brown,CON,G,25,130,25,130,2.6,0.367,0.327,0.385,0.231,5.5,9.7,11.2,2,1.4,27.7,13.9,72,102,,-0.3,0.2,-0.1,-0.039
2023,Rae Burrell,LAS,G-F,29,322,29,322,10.7,0.513,0.473,0.441,0.226,4.7,6.8,9.4,2.1,0.9,12.8,16.7,98,105,,0.1,0.4,0.5,0.06
2023,Veronica Burton,DAL,G,40,555,40,555,11.8,0.47,0.371,0.565,0.4,4.4,7.2,20.8,2.6,1.6,14.5,8.9,120,106,,1,0.5,1.6,0.113
2023,Maya Caldwell,IND,G,30,304,30,304,2.3,0.371,0.319,0.403,0.194,3.5,5.4,9.2,1.5,0.9,22,14.8,74,111,,-0.7,0.1,-0.7,-0.091
2023,Jordin Canada,LAS,G,38,1237,38,1237,16.9,0.534,0.455,0.305,0.392,0.8,5.7,32,3.5,0.7,17.9,21.3,102,101,,1.3,2.1,3.4,0.111
2023,Emma Cannon,IND,F,30,314,30,314,16.6,0.571,0.504,0.254,0.328,9.1,18.2,8.1,0.7,0.6,17.7,26.6,102,108,,0.4,0.2,0.6,0.077
2023,Bridget Carleton,MIN,F,38,573,38,573,7.7,0.49,0.471,0.748,0.126,3.9,9,9,1.2,0.5,11.3,11.2,102,110,,0.3,0.2,0.5,0.036
2023,DiJonai Carrington,CON,G-F,32,550,32,550,14.2,0.518,0.469,0.278,0.332,5.9,10,12.9,1.9,0.5,12.3,24.1,101,102,,0.5,0.8,1.3,0.097
2023,Kaila Charles,SEA,G-F,4,41,4,41,-1.2,0.25,0.25,0.167,0,8.2,6.9,3.9,1.2,0,0,13,72,111,,-0.1,0,-0.1,-0.083
2023,Layshia Clarendon,LAS,G,24,687,24,687,14.7,0.61,0.552,0.238,0.306,3.9,6.4,21,2,0,19.8,18.2,108,105,,1.1,0.7,1.9,0.108
2023,Alysha Clark,LVA,F,39,876,39,876,10.7,0.592,0.568,0.644,0.161,3,8.8,6.5,1.4,0.6,11.3,12.7,112,102,,1.3,1.3,2.6,0.118
2023,Natasha Cloud,WAS,G,37,1199,37,1199,14.2,0.514,0.434,0.382,0.354,0.8,6.8,32,1.6,0.8,17.2,21,101,104,,1.1,1.5,2.6,0.086
2023,Nia Clouden,LAS,G,5,54,5,54,-2.7,0.368,0.35,0.3,0.2,0,2.2,25.6,0,0,42.4,16,61,111,,-0.3,0,-0.2,-0.177
2023,Nia Coffey,ATL,F,31,680,31,680,11.5,0.528,0.518,0.427,0.125,2.5,12.4,11.6,1.2,4.6,18.2,15.9,93,100,,-0.2,1.2,1,0.061
2023,Napheesa Collier,MIN,F,37,1238,37,1238,24.9,0.568,0.512,0.186,0.326,6.6,14.7,15.5,2.5,3.1,11.3,28.9,109,102,,3.4,1.9,5.2,0.17
2023,Sydney Colson,LVA,G,28,135,28,135,13.1,0.59,0.556,0.593,0.222,3.6,5.1,21.7,3.3,0.6,16.8,11.9,122,100,,0.4,0.3,0.6,0.181
2023,Zia Cooke,LAS,G,39,549,39,549,4.5,0.38,0.329,0.307,0.213,2.1,4.1,9.6,1.2,2,10.5,22.9,77,106,,-1.7,0.5,-1.2,-0.091
2023,Kahleah Copper,CHI,G-F,38,1184,38,1184,16.4,0.545,0.507,0.292,0.26,2.4,8.3,12,1.5,0.7,12.6,28.2,101,107,,1.1,0.9,2.1,0.07
2023,Lauren Cox,CON,F,1,0,1,0,,,,,,,,,,,,,,,,0,0,0,
2023,Lorela Cubaj,ATL,F-C,3,19,3,19,-2.4,0,0,0,0,0,20.7,0,0,4.5,50,4.6,0,98,,-0.1,0,0,-0.043
2023,Sophie Cunningham,PHO,G,31,898,31,898,12.1,0.575,0.52,0.639,0.297,2.4,6.1,12.4,1.2,1,13.1,18.2,107,113,,1.4,-0.1,1.3,0.057
2023,Crystal Dangerfield,DAL,G,35,973,35,973,11.5,0.492,0.473,0.332,0.096,3.1,5.9,16.2,1.7,0.6,12.3,14.4,107,109,,1.1,0.5,1.6,0.066
2023,Elena Delle Donne,WAS,F-G,23,633,23,633,23,0.583,0.526,0.208,0.273,3.6,11.6,15.6,1.5,3,8.4,25.9,112,101,,1.9,1.1,2.9,0.185
2023,Jasmine Dickey,DAL,G,14,87,14,87,4.9,0.396,0.382,0.029,0.176,9,7.2,1.7,2.3,1,12,20.2,84,108,,-0.2,0.1,-0.1,-0.043
2023,Ivana Dojkić,SEA,G,23,461,23,461,11.2,0.544,0.5,0.462,0.361,1,4.9,23.9,2,0.7,20.2,16.6,101,108,,0.3,0.3,0.6,0.053
2023,Stefanie Dolson,NYL,C,23,273,23,273,11.1,0.627,0.603,0.382,0.206,5.7,9.4,14.8,0.2,1.8,22.1,15.5,109,105,,0.4,0.3,0.7,0.108
2023,AD Durr,ATL,G,36,392,36,392,9.1,0.48,0.439,0.362,0.239,0.9,5.4,11.1,1.3,0.6,13.5,23.2,89,106,,-0.4,0.4,-0.1,-0.008
2023,Emily Engstler,MIN,F,12,93,12,93,9.5,0.428,0.429,0.333,0.381,13.8,18.1,11.7,2.7,0.9,29,16.8,82,103,,-0.2,0.1,-0.1,-0.023
2023,Dana Evans,CHI,G,39,837,39,837,11.8,0.485,0.425,0.444,0.276,1,3.3,22.6,1.6,0.4,14.4,22.5,97,109,,0.2,0.4,0.6,0.029
2023,Dulcy Fankam Mendjiadeu,SEA,F-C,33,470,33,470,12.3,0.538,0.523,0.009,0.374,13.8,18,4.4,1.4,2,18.9,14.5,102,105,,0.4,0.5,0.9,0.075
2023,Cayla George,LVA,C-F,32,273,32,273,1.8,0.356,0.361,0.615,0.029,6.8,12.3,6.5,1.8,1.5,20.4,21.8,68,100,,-1.2,0.5,-0.7,-0.106
2023,Rebekah Gardner,CHI,G,3,59,3,59,17.4,0.631,0.536,0.357,0.429,1.9,11,17.9,5.2,1.4,23.1,16.4,110,97,,0.1,0.1,0.2,0.164
2023,Cyesha Goree,WAS,F,10,116,10,116,10.3,0.556,0.516,0.438,0.219,6.9,6.1,1.5,1.3,0.8,10.2,15.4,106,107,,0.1,0.1,0.2,0.077
2023,Allisha Gray,ATL,G,38,1244,38,1244,18.8,0.578,0.51,0.251,0.435,4.2,8.4,17.3,1.6,1,11.2,22.2,113,105,,3.5,1.4,5,0.161
2023,Chelsea Gray,LVA,G,40,1288,40,1288,21.8,0.603,0.56,0.331,0.233,1.1,7.1,34,2.2,1.6,16.6,21.2,117,100,,4.6,2.3,7,0.216
2023,Brittney Griner,PHO,C,31,856,31,856,25.1,0.605,0.563,0.023,0.349,5.7,14.1,17.6,1,4.9,12.8,28.2,110,107,,2.4,0.7,3.1,0.146
2023,Arella Guirantes,SEA,G,9,47,9,47,4.8,0.33,0.281,0.375,0.313,2.4,7.2,10.5,1.1,7.2,14.2,20,69,105,,-0.2,0.1,-0.1,-0.11
2023,Megan Gustafson,PHO,C,34,514,34,514,20.2,0.608,0.564,0.222,0.32,11.4,15.8,9.5,1.3,2.3,14.3,23.5,111,109,,1.3,0.3,1.6,0.124
2023,Dearica Hamby,LAS,F,40,990,40,990,12.8,0.491,0.446,0.134,0.418,6,14.4,12.5,1.7,1.1,13.8,19.4,96,102,,0,1.6,1.6,0.065
2023,Linnae Harper,WAS,G,14,73,14,73,2.5,0.385,0.385,0.423,0,4.7,7.3,9,1.4,0,13.3,18.8,77,106,,-0.2,0.1,-0.1,-0.068
2023,Tyasha Harris,CON,G,40,668,40,668,10.6,0.523,0.51,0.402,0.12,0.9,3,16.5,2.2,0.4,15.7,17.7,97,104,,0.1,0.8,0.9,0.055
2023,Bernadett Hatar,CON,C,6,47,6,47,5.4,0.375,0.375,0,0,7.6,11.5,3.4,4.4,3.9,20,19.3,69,94,,-0.2,0.1,0,-0.04
2023,Tianna Hawkins,WAS,F,40,923,40,923,14.5,0.57,0.545,0.328,0.196,7.5,12.7,10.5,1.8,1.4,14,16.6,107,102,,1.3,1.4,2.8,0.119
2023,Tiffany Hayes,CON,G,40,1082,40,1082,16,0.59,0.544,0.371,0.357,4.2,6.6,16.4,1.6,0.3,12.1,19.5,114,105,,2.9,1.3,4.2,0.154
2023,Ruthy Hebard,CHI,F,19,175,19,175,20.5,0.607,0.585,0,0.377,11.8,15.5,6.8,1.5,3.3,6.1,16.8,126,104,,0.7,0.2,0.9,0.2
2023,Natisha Hiedeman,CON,G,40,1066,40,1066,9.3,0.507,0.486,0.513,0.146,0.9,4.7,15.7,1.7,0.3,14.6,16.7,97,105,,0.2,1.3,1.5,0.055
2023,Naz Hillmon,ATL,F,40,541,40,541,11.7,0.587,0.509,0.009,0.466,10.4,14.2,8,0.7,0.5,21.8,14.5,107,105,,0.7,0.6,1.2,0.092
2023,Khaalia Hillsman,CHI,C,1,1,1,1,0,,,,,0,0,0,0,0,,0,,115,,0,0,0,-0.015
2023,Myisha Hines-Allen,WAS,F,35,617,35,617,9.4,0.419,0.381,0.307,0.214,6.8,14.7,20.7,1.9,0.9,18.1,21.3,86,101,,-1.1,1.1,0,0.001
2023,Jordan Horston,SEA,G-F,36,806,36,806,9.1,0.418,0.385,0.149,0.189,6.5,12.8,12.7,2.7,2.2,19.2,20.3,81,103,,-1.9,1.2,-0.7,-0.034
2023,Natasha Howard,DAL,F,39,1289,39,1289,17.5,0.536,0.494,0.236,0.25,7.3,13.8,12.6,1.9,3.1,15.4,23.1,105,104,,2,1.7,3.7,0.114
2023,Rhyne Howard,ATL,G,39,1283,39,1283,16.7,0.516,0.469,0.479,0.281,2.3,8.4,19.4,2,1.7,10.2,25.1,103,103,,1.6,1.9,3.5,0.108
2023,Lexie Hull,IND,G,30,619,30,619,7.3,0.446,0.417,0.414,0.152,6.7,8,7.8,2.5,1.3,16.2,13.4,92,108,,-0.2,0.4,0.2,0.011
2023,Sabrina Ionescu,NYL,G,36,1134,36,1134,20.7,0.602,0.562,0.62,0.236,3.1,10.1,27.3,1.7,0.7,15.6,23.7,115,102,,3.8,1.8,5.6,0.197
2023,Moriah Jefferson,PHO,G,39,972,39,972,14,0.509,0.484,0.282,0.132,1.2,4.9,26.8,2.3,0.6,13.5,22.4,99,111,,0.6,0.2,0.8,0.031
2023,Marine Johannes,NYL,G,35,662,35,662,10.1,0.556,0.544,0.707,0.093,1.4,4.3,13.2,1.8,0.2,17.4,18.2,99,105,,0.3,0.8,1,0.062
2023,Brionna Jones,CON,F,13,412,13,412,22.9,0.625,0.579,0.029,0.414,11.9,15.4,13.6,3,1.5,14.9,21.4,117,98,,1.4,0.9,2.3,0.225
2023,Haley Jones,ATL,F-G,40,584,40,584,6.7,0.405,0.355,0.169,0.247,2.7,9,24.8,1.4,1.7,22.7,17.8,82,104,,-1.2,0.8,-0.4,-0.028
2023,Jonquel Jones,NYL,F,40,1001,40,1001,20.1,0.613,0.575,0.272,0.24,12.3,19.1,11.8,1.2,4.2,18.4,20.1,113,98,,2.5,2.2,4.7,0.189
2023,Dorka Juhász,MIN,F,38,919,38,919,14.5,0.516,0.505,0.241,0.251,8.3,15.6,17.2,2,2.2,17.5,13.2,106,104,,1,1.2,2.1,0.093
2023,Sika Koné,CHI,F,20,186,20,186,12.9,0.616,0.553,0.128,0.553,13.6,18.7,8.5,0.8,0.4,26.4,19.1,103,106,,0.2,0.2,0.4,0.083
