Rk,Player,eFGp,AST,TOV,G,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Te-Hina PaoPao,0.654,35,17,21,2025,22,ATL,21,4,0,262,41,81,17,31,24,50,6,11,6,23,29,35,5,2,17,24,112,0.506,0.548,0.48,0.545,0.652,0.654,G,paopate01
2,Crystal Langhorne,0.624,15,36,34,2008,21,WAS,34,6,0,529,68,109,68,109,0,0,28,51,53,83,136,15,15,6,36,54,164,0.624,0.624,,0.549,0.624,0.624,F-C,langhcr01
3,Julie Allemand,0.619,128,57,22,2020,23,IND,22,22,0,716,61,134,17,42,44,92,22,30,8,92,100,128,25,9,57,57,188,0.455,0.405,0.478,0.733,0.639,0.619,G,allemju01
4,Haixia Zheng,0.618,17,46,28,1997,30,LAS,28,21,0,557,110,178,110,178,0,0,39,59,32,91,123,17,11,20,46,77,259,0.618,0.618,,0.661,0.635,0.618,C,zhengha01
5,Leonie Fiebich,0.613,70,41,40,2024,24,NYL,40,15,0,837,97,203,42,76,55,127,18,25,39,82,121,70,38,7,41,88,267,0.478,0.553,0.433,0.72,0.624,0.613,F,fiebile01
6,Jeanette Pohlen-Mavunga,0.613,33,21,34,2011,22,IND,34,2,0,539,48,102,19,40,29,62,13,15,10,37,47,33,13,4,21,32,138,0.471,0.475,0.468,0.867,0.635,0.613,G,pohleje01
7,Nicky McCrimmon,0.61,65,48,32,2000,28,LAS,32,0,0,488,39,77,23,44,16,33,7,14,9,23,32,65,29,8,48,41,101,0.506,0.523,0.485,0.5,0.607,0.61,G,mccrini01
8,Jennifer Azzi,0.597,106,56,28,1999,30,DET,28,19,0,838,93,181,63,123,30,58,86,104,5,56,61,106,24,4,56,103,302,0.514,0.512,0.517,0.827,0.666,0.597,G,azzije01
9,Jana Vesela,0.594,18,26,29,2010,26,SEA,29,0,0,330,35,64,29,49,6,15,16,20,16,42,58,18,18,7,26,28,92,0.547,0.592,0.4,0.8,0.632,0.594,F,veselja02
10,Elisa Aguilar,0.591,16,11,28,2002,25,UTA,28,0,0,141,14,33,3,12,11,21,4,7,0,11,11,16,3,2,11,5,43,0.424,0.25,0.524,0.571,0.596,0.591,G,aguilel01
11,Sancho Lyttle,0.584,17,23,33,2005,21,HOU,33,0,0,460,59,101,59,101,0,0,22,40,35,90,125,17,20,3,23,45,140,0.584,0.584,,0.55,0.59,0.584,F,lyttlsa01
12,Aliyah Boston,0.583,89,75,40,2023,21,IND,40,40,1,1249,233,403,229,393,4,10,108,145,125,210,335,89,53,50,75,125,578,0.578,0.583,0.4,0.745,0.619,0.583,F-C,bostoal01
13,Kristi Toliver,0.579,51,44,27,2009,22,CHI,27,0,0,386,72,159,32,69,40,90,21,23,6,31,37,51,10,3,44,33,205,0.453,0.464,0.444,0.913,0.606,0.579,G,tolivkr01
