Rk,School,G,W,L,Pct,Tm,Opp,Pace,
1,Abilene Christian,10,5,5,.500,738,672,71.8,
2,Air Force,12,7,5,.583,757,788,72.3,
3,Akron,8,3,5,.375,515,534,68.1,
4,Alabama,14,12,2,.857,1071,749,70.9,
5,Alabama A&M,11,5,6,.455,662,672,68.8,
6,Alabama State,10,0,10,.000,476,909,76.1,
7,Albany (NY),12,10,2,.833,797,609,65.0,
8,Alcorn State,9,2,7,.222,451,609,71.0,
9,American,10,2,8,.200,599,672,72.3,
10,Appalachian State,10,5,5,.500,695,714,77.1,
11,Arizona,12,8,4,.667,871,747,73.0,
12,Arizona State,12,8,4,.667,813,797,70.5,
13,Arkansas,13,10,3,.769,961,847,76.1,
14,Arkansas State,9,6,3,.667,646,536,70.0,
15,Arkansas-Pine Bluff,11,4,7,.364,851,820,77.9,
16,Army,9,2,7,.222,503,606,71.2,
17,Auburn,12,10,2,.833,831,629,73.2,
18,Austin Peay,12,6,6,.500,800,769,68.3,
19,Ball State,10,8,2,.800,743,683,75.8,
20,Baylor,10,10,0,1.000,858,534,74.4,
21,Bellarmine,10,4,6,.400,645,755,77.3,
22,Belmont,10,7,3,.700,690,617,68.7,
23,Bethune-Cookman,12,8,4,.667,848,687,74.1,
24,Binghamton,12,4,8,.333,790,787,68.0,
25,Boise State,12,8,4,.667,772,667,68.8,
26,Boston College,13,8,5,.615,1016,830,74.4,
27,Boston University,10,7,3,.700,620,592,67.6,
28,Bowling Green State,9,6,3,.667,618,641,71.4,
29,Bradley,11,4,7,.364,684,754,70.5,
30,Brigham Young,12,9,3,.750,845,742,70.3,
31,Brown,11,8,3,.727,664,609,69.4,
32,Bryant,12,6,6,.500,758,746,68.6,
33,Bucknell,10,3,7,.300,519,637,69.4,
34,Buffalo,9,5,4,.556,604,563,69.5,
35,Butler,11,7,4,.636,733,658,67.3,
36,Cal Poly,9,3,6,.333,535,608,68.7,
37,Cal State Bakersfield,8,2,6,.250,501,594,72.6,
38,Cal State Fullerton,9,4,5,.444,535,591,70.6,
39,Cal State Northridge,9,2,7,.222,500,679,73.2,
40,California,11,9,2,.818,800,645,69.3,
41,California Baptist,11,10,1,.909,807,741,78.6,
42,Campbell,10,7,3,.700,678,510,68.5,
43,Canisius,9,6,3,.667,584,586,66.2,
44,Central Arkansas,12,7,5,.583,815,707,69.6,
45,Central Connecticut State,12,2,10,.167,663,869,70.5,
46,Central Florida,10,9,1,.900,689,535,70.2,
47,Central Michigan,9,1,8,.111,578,689,75.5,
48,Charleston Southern,11,2,9,.182,646,820,74.5,
49,Charlotte,11,7,4,.636,693,623,72.2,
50,Chattanooga,13,11,2,.846,840,691,65.9,
51,Chicago State,20,0,20,.000,1112,1725,76.9,
52,Cincinnati,10,7,3,.700,671,613,69.7,
53,Clemson,12,7,5,.583,897,834,73.7,
54,Cleveland State,12,10,2,.833,942,769,73.9,
55,Coastal Carolina,12,6,6,.500,783,842,75.8,
56,Colgate,9,5,4,.556,545,500,67.3,
57,College of Charleston,10,7,3,.700,824,646,79.5,
58,Colorado,10,9,1,.900,846,638,74.5,
59,Colorado State,11,9,2,.818,830,653,70.0,
60,Columbia,11,7,4,.636,821,713,71.7,
61,Connecticut,12,9,3,.750,982,748,73.4,
62,Coppin State,13,3,10,.231,684,831,68.8,
63,Cornell,10,5,5,.500,575,638,69.0,
64,Creighton,10,8,2,.800,775,638,70.3,
65,Dartmouth,10,5,5,.500,508,539,63.1,
66,Davidson,11,10,1,.909,805,574,67.6,
67,Dayton,12,6,6,.500,815,851,72.9,
68,Delaware,10,4,6,.400,688,678,73.1,
69,Delaware State,11,3,8,.273,625,869,73.2,
70,Denver,10,3,7,.300,617,638,69.1,
71,DePaul,13,8,5,.615,1034,904,77.1,
72,Detroit Mercy,12,8,4,.667,774,752,72.1,
73,Drake,10,6,4,.600,805,767,75.6,
74,Drexel,9,4,5,.444,502,482,60.6,
75,Duke,11,7,4,.636,820,683,71.0,
76,Duquesne,11,6,5,.545,769,773,72.7,
77,East Carolina,9,6,3,.667,606,481,74.4,
78,East Tennessee State,13,10,3,.769,768,673,64.6,
